beneficiary_id,first_name,last_name,gender,county,program,activity,sessions_attended,sessions_expected,participation_rate,completion_status,enrollment_date,reporting_period,status
BEN-000041,Amina,Kimani,Female,Kisumu,Plus,Life Skills,11,11,100.0,In Progress,2026-08-06,Q3 2026,active
BEN-000042,Wanjiru,Wekesa,Female,Kisumu,Plus,Mentorship,10,13,76.9,In Progress,2026-06-05,Q2 2026,active
BEN-000043,Anyango,Charo,Female,Uasin Gishu,Plus,Life Skills,8,12,66.7,COMPLETED,2025-10-02,Q4 2025,completed
BEN-000045,Collins,Mbogo,Male,Nairobi,Plus,Leadership,10,10,100.0,Completed,2026-01-24,Q1 2026,completed
BEN-000047,John,Nyambane,Male,Kilifi,Plus,Entrepreneurship,12,16,75.0,In Progress,2026-06-18,Q2 2026,active
BEN-000050,Kendi,Koech,Female,Kiambu,Plus,Mentorship,15,15,100.0,In Progress,2026-05-07,Q2 2026,active
BEN-000052,Beatrice,Kamau,Female,Machakos,Plus,Health & Wellness,5,7,71.4,In Progress,2026-01-05,Q1 2026,active
BEN-000056,Njeri,Nyambane,Female,Nairobi County,Plus,Entrepreneurship,12,16,75.0,COMPLETED,2025-12-03,Q4 2025,completed
BEN-000057,Atieno,Wanjiku,F,Kakamega,Plus,Health & Wellness,6,10,60.0,In Progress,2026-09-11,Q3 2026,active
BEN-000059,Omondi,Kuria,Male,Bungoma,Plus,Health & Wellness,9,10,90.0,In Progress,2026-09-05,Q3 2026,active
BEN-000061,Nasieku,Kiptoo,Female,Kiambu,Plus,Life Skills,9,11,81.8,Completed,2025-10-13,Q4 2025,completed
BEN-000063,Cherono,Kiptoo,Female,Nakuru,Plus,Leadership,8,8,100.0,In Progress,2026-08-03,Q3 2026,active
BEN-000065,Nkatha,Hassan,Female,Nakuru,Plus,Leadership,11,11,100.0,Completed,2025-07-10,Q3 2025,completed
BEN-000067,Mercy,Kariuki,Female,Kajiado,Plus,Community Service,8,10,80.0,Completed,2026-02-14,Q1 2026,completed
BEN-000068,Samuel,Cheruiyot,Male,Kiambu,Plus,Mentorship,13,20,65.0,In Progress,2026-07-09,Q3 2026,active
BEN-000069,Wanjiku,Musyoka,Female,Kakamega,Plus,Community Service,6,7,85.7,Completed,2026-06-08,Q2 2026,completed
BEN-000070,Nasieku,Mutiso,Female,Kakamega,Plus,Community Service,8,10,80.0,In Progress,2026-08-05,Q3 2026,active
BEN-000073,Chepkoech,Barasa,FEMALE,BUNGOMA,Plus,Leadership,8,10,80.0,Completed,2025-11-30,Q4 2025,completed
BEN-000075,Diana,Katana,Female,Kisumu,Plus,Life Skills,10,14,71.4,Completed,2026-04-27,Q2 2026,completed
BEN-000077,Sharon,Onyango,Female,Kisumu,Plus,Financial Literacy,5,8,62.5,In Progress,2026-09-15,Q3 2026,active
BEN-000083,Joseph,Mutua,Male,Nairobi,Plus,Entrepreneurship,11,15,73.3,Completed,2026-01-09,Q1 2026,completed
BEN-000085,John,Njenga,Male,Mombasa,Plus,Health & Wellness,7,8,87.5,In Progress,2026-04-12,Q2 2026,active
BEN-000088,Kamau,Achieng,Male,Kisii,Plus,Mentorship,16,19,84.2,In Progress,2026-05-13,Q2 2026,active
BEN-000090,Amina,Korir,Female,Kisii,Plus,Financial Literacy,7,11,63.6,Dropped,2026-01-24,Q1 2026,dropped_out
BEN-000091,Odhiambo,Juma,Male,Mombasa,Plus,Entrepreneurship,7,10,70.0,In Progress,2026-03-28,Q1 2026,active
BEN-000093,Wanjiru,Koech,Female,Uasin Gishu,Plus,Life Skills,10,12,83.3,In Progress,2026-08-14,Q3 2026,active
BEN-000095,Cynthia,Onyango,Female,Bungoma,Plus,Community Service,3,6,50.0,Completed,2025-05-26,Q2 2025,completed
BEN-000096,Mohamed,Korir,Male,Kiambu,Plus,Financial Literacy,6,9,66.7,In Progress,2026-01-05,Q1 2026,active
BEN-000098,Akinyi,Njenga,Female,Nakuru,Plus,Life Skills,5,10,50.0,In Progress,2026-05-26,Q2 2026,active
BEN-000099,Mohamed,Hassan,Male,Muranga,Plus,Community Service,5,6,83.3,In Progress,2026-08-16,Q3 2026,active
BEN-000101,Chepkoech,Maina,Female,Nyeri,Plus,Leadership,7,9,77.8,In Progress,2026-05-17,Q2 2026,active
BEN-000102,Ali,Mwakio,Male,Nairobi,Plus,Community Service,3,7,42.9,Dropped,2025-12-06,Q4 2025,dropped_out
BEN-000104,Nicholas,Cheruiyot,Male,Kisumu,Plus,Community Service,4,8,50.0,Dropped,2026-01-09,Q1 2026,dropped_out
BEN-000110,Mercy,Kuria,Female,Nakuru,Plus,Health & Wellness,6,10,60.0,Dropped,2025-10-31,Q4 2025,dropped_out
BEN-000117,Patrick,Wekesa,Male,Kakamega,Plus,Financial Literacy,10,12,83.3,In Progress,2026-07-17,Q3 2026,active
BEN-000118,Kelvin,Mutiso,Male,Kiambu,Plus,Community Service,5,6,83.3,complete,2025-12-21,Q4 2025,completed
BEN-000119,Timothy,Katana,Male,Nairobi,Plus,Life Skills,8,11,72.7,Completed,2025-11-08,Q4 2025,completed
BEN-000124,Zawadi,Chebet,Female,Kiambu,Plus,Health & Wellness,4,7,57.1,Dropped,2025-05-13,Q2 2025,dropped_out
BEN-000126,Francis,Rotich,Male,Kajiado,Plus,Health & Wellness,6,7,85.7,Completed,2026-06-19,Q2 2026,completed
BEN-000127,Diana,Katana,Female,Kisumu,Plus,Mentorship,13,20,65.0,Completed,2026-04-25,Q2 2026,completed
BEN-000128,Brian,Korir,Male,NAIROBI,Plus,Health & Wellness,4,9,44.4,Completed,2025-10-16,Q4 2025,completed
BEN-000131,Wanjiku,Maina,Female,Mombasa,Plus,Health & Wellness,7,8,87.5,Completed,2025-07-16,Q3 2025,completed
BEN-000136,Collins,Barasa,Male,Muranga,Plus,Health & Wellness,8,9,88.9,Completed,2025-11-25,Q4 2025,completed
BEN-000138,Isaac,Gitau,Male,Machakos,Plus,Leadership,3,9,33.3,Dropped,2025-01-14,Q1 2025,dropped_out
BEN-000141,Mercy,Baya,Female,Kakamega,Plus,Leadership,8,10,80.0,Completed,2025-08-14,Q3 2025,completed
BEN-000142,Joseph,Omondi,m,Muranga County,Plus,Life Skills,10,10,100.0,Completed,2025-03-21,Q1 2025,completed
BEN-000143,Kilonzo,Owino,Male,Nairobi,Plus,Life Skills,11,14,78.6,In Progress,2026-01-29,Q1 2026,active
BEN-000145,Emmanuel,Mwangi,Male,Mombasa County,Plus,Leadership,10,11,90.9,In Progress,2026-09-08,Q3 2026,active
BEN-000146,Nicholas,Hassan,Male,Nairobi,Plus,Leadership,9,9,100.0,Completed,2025-10-11,Q4 2025,completed
BEN-000149,Francis,Mutua,Male,Kisumu,Plus,Entrepreneurship,9,15,60.0,In Progress,2026-09-25,Q3 2026,active
BEN-000150,Mercy,Njoroge,Female,Nakuru,Plus,Leadership,8,12,66.7,Completed,2025-12-02,Q4 2025,completed
BEN-000151,Wekesa,Kamau,Male,Mombasa,Plus,Entrepreneurship,14,15,93.3,In Progress,2026-09-12,Q3 2026,active
BEN-000152,Faith,Njenga,Female,Nairobi,Plus,Life Skills,9,14,64.3,Completed,2025-09-12,Q3 2025,completed
BEN-000153,Diana,Wafula,F,NAIROBI,Plus,Leadership,8,9,88.9,In Progress,2026-02-02,Q1 2026,active
BEN-000154,Simon,Maina,Male,Meru,Plus,Community Service,4,6,66.7,Dropped,2025-04-22,Q2 2025,dropped_out
BEN-000156,Daniel,Onyango,Male,Nairobi,Plus,Community Service,5,8,62.5,complete,2025-03-15,Q1 2025,completed
BEN-000157,Amina,Wekesa,Female,Kajiado,Plus,Mentorship,16,20,80.0,Completed,2026-06-17,Q2 2026,completed
BEN-000163,Amina,Wekesa,Female,Kajiado,Plus,Community Service,6,10,60.0,Completed,2026-01-14,Q1 2026,completed
BEN-000164,Barasa,Mbogo,Male,Uasin Gishu,Plus,Entrepreneurship,9,16,56.2,Dropped,2025-11-16,Q4 2025,dropped_out
BEN-000165,Omondi,Wekesa,Male,Uasin Gishu,Plus,Health & Wellness,6,7,85.7,Completed,2025-12-24,Q4 2025,completed
BEN-000166,Wanjiku,Bett,Female,Uasin Gishu,Plus,Leadership,9,11,81.8,In Progress,2026-06-25,Q2 2026,active
BEN-000168,Wekesa,Omondi,Male,Nairobi,Plus,Financial Literacy,6,10,60.0,Completed,2025-02-14,Q1 2025,completed
BEN-000169,Grace,Muthoni,Female,Nairobi,Plus,Community Service,7,8,87.5,In Progress,2026-08-08,Q3 2026,active
BEN-000172,Korir,Mohamed,Male,Nairobi,Plus,Financial Literacy,12,12,100.0,Completed,2025-12-30,Q4 2025,completed
BEN-000174,Esther,Koech,Female,Nakuru,Plus,Community Service,5,6,83.3,In Progress,2026-09-16,Q3 2026,active
BEN-000175,Onyango,Mwangi,Male,Kakamega,Plus,Mentorship,9,14,64.3,Completed,2026-06-09,Q2 2026,completed
BEN-000176,Naisula,Mohamed,female,Nairobi,Plus,Entrepreneurship,6,10,60.0,Dropped,2026-04-04,Q2 2026,dropped_out
BEN-000177,Sharon,Kimani,Female,Kajiado,Plus,Financial Literacy,8,11,72.7,Completed,2025-07-04,Q3 2025,completed
BEN-000179,Joseph,Gitau,Male,Kakamega,Plus,Community Service,3,6,50.0,Dropped,2025-11-23,Q4 2025,dropped_out
BEN-000180,David,Kuria,Male,Kajiado,Plus,Life Skills,8,14,57.1,Completed,2026-04-06,Q2 2026,completed
BEN-000181,Stephen,Wekesa,Male,Nakuru,Plus,Health & Wellness,3,7,42.9,DROPPED,2025-03-13,Q1 2025,dropped_out
BEN-000184,Daniel,Chebet,Male,Kisii,Plus,Entrepreneurship,12,16,75.0,Completed,2025-07-14,Q3 2025,completed
BEN-000189,Onyango,Cheruiyot,Male,Kajiado,Plus,Leadership,7,10,70.0,complete,2025-12-10,Q4 2025,completed
BEN-000194,Atieno,Hassan,Female,Machakos,Plus,Community Service,3,6,50.0,In Progress,2026-08-04,Q3 2026,active
BEN-000196,Joy,Mutua,Female,Muranga,Plus,Life Skills,8,14,57.1,Dropped,2025-04-08,Q2 2025,dropped_out
BEN-000197,Barasa,Mwangi,Male,Mombasa,Plus,Leadership,12,12,100.0,In Progress,2026-04-14,Q2 2026,active
BEN-000198,Chepkoech,Korir,Female,Nairobi,Plus,Life Skills,11,11,100.0,In Progress,2026-07-15,Q3 2026,active
BEN-000200,David,Omondi,MALE,Nairobi,Plus,Life Skills,11,13,84.6,In Progress,2026-03-22,Q1 2026,active
BEN-000201,Mumbi,Mbogo,Female,Nakuru,Plus,Health & Wellness,5,6,83.3,In Progress,2026-01-02,Q1 2026,active
BEN-000204,Nicholas,Ngugi,Male,Nakuru,Plus,Mentorship,14,20,70.0,In Progress,2026-07-12,Q3 2026,active
BEN-000206,Chepkoech,Mutua,Female,Nairobi,Plus,Community Service,8,9,88.9,Completed,2025-04-14,Q2 2025,completed
BEN-000208,Kendi,Chebet,Female,Nakuru,Plus,Health & Wellness,5,7,71.4,In Progress,2026-08-14,Q3 2026,active
BEN-000209,Awuor,Charo,Female,Kisumu,Plus,Financial Literacy,5,9,55.6,In Progress,2026-05-19,Q2 2026,active
BEN-000213,Mercy,Kiptoo,Female,Nairobi,Plus,Health & Wellness,6,7,85.7,In Progress,2026-08-30,Q3 2026,active
BEN-000214,Mumbi,Charo,Female,Nakuru,Plus,Leadership,8,10,80.0,Completed,2025-09-30,Q3 2025,completed
BEN-000222,Purity,Onyango,Female,Nairobi,Plus,Mentorship,5,15,33.3,Dropped,2025-06-22,Q2 2025,dropped_out
BEN-000227,Abdi,Njenga,Male,Nairobi,Plus,Financial Literacy,7,8,87.5,Completed,2025-10-25,Q4 2025,completed
BEN-000229,Kipchoge,Kuria,Male,Nairobi County,Plus,Life Skills,10,13,76.9,Completed,2025-05-30,Q2 2025,completed
BEN-000230,Dennis,Kamau,Male,Nakuru,Plus,Health & Wellness,8,10,80.0,In Progress,2026-08-14,Q3 2026,active
BEN-000232,Gathoni,Otieno,Female,Mombasa,Plus,Mentorship,8,12,66.7,complete,2025-09-05,Q3 2025,completed
BEN-000233,Gathoni,Abdi,f,Kakamega,Plus,Financial Literacy,5,9,55.6,complete,2025-12-10,Q4 2025,completed
BEN-000235,Anyango,Rotich,Female,Kiambu,Plus,Community Service,8,9,88.9,Completed,2025-10-27,Q4 2025,completed
BEN-000237,Brenda,Mwakio,Female,Mombasa,Plus,Life Skills,6,11,54.5,complete,2025-07-24,Q3 2025,completed
BEN-000238,Mohamed,Katana,male,Meru,Plus,Entrepreneurship,12,12,100.0,In Progress,2026-08-07,Q3 2026,active
BEN-000239,Simon,Kariuki,Male,Muranga,Plus,Leadership,7,10,70.0,In Progress,2026-07-02,Q3 2026,active
BEN-000240,Emmanuel,Baya,Male,machakos,Plus,Life Skills,6,11,54.5,In Progress,2026-03-24,Q1 2026,active
BEN-000241,Caroline,Ochieng,Female,nakuru,Plus,Entrepreneurship,11,12,91.7,In Progress,2026-04-14,Q2 2026,active
BEN-000243,Brian,Rotich,Male,Nairobi,Plus,Entrepreneurship,10,11,90.9,Completed,2025-04-20,Q2 2025,completed
BEN-000247,Barasa,Gitau,Male,Nairobi,Plus,Entrepreneurship,10,10,100.0,Completed,2026-03-28,Q1 2026,completed
BEN-000248,Brenda,Musyoka,Female,Nyeri,Plus,Financial Literacy,8,9,88.9,Completed,2026-03-11,Q1 2026,completed
BEN-000250,Samuel,Gitau,Male,kisumu,Plus,Leadership,6,8,75.0,In Progress,2026-08-28,Q3 2026,active
BEN-000251,Ali,Nyambane,Male,Machakos,Plus,Leadership,5,11,45.5,Dropped,2025-11-11,Q4 2025,dropped_out
BEN-000252,Awuor,Kuria,Female,Kakamega,Plus,Financial Literacy,6,9,66.7,In Progress,2026-09-29,Q3 2026,active
BEN-000253,Samuel,Barasa,Male,Mombasa,Plus,Community Service,4,6,66.7,Completed,2026-05-25,Q2 2026,completed
BEN-000254,Joy,Kimani,Female,Nakuru,Plus,Leadership,7,9,77.8,In Progress,2026-03-11,Q1 2026,active
BEN-000257,Kiptoo,Mwakio,Male,Bungoma,Plus,Community Service,7,10,70.0,Completed,2026-04-06,Q2 2026,completed
BEN-000259,Onyango,Muthoni,MALE,Kiambu,Plus,Community Service,6,9,66.7,Completed,2026-04-05,Q2 2026,completed
BEN-000260,Emily,Mwangi,Female,Nairobi,Plus,Entrepreneurship,11,12,91.7,In Progress,2026-09-03,Q3 2026,active
BEN-000261,Kagure,Matano,Female,Kisumu,Plus,Health & Wellness,4,6,66.7,In Progress,2026-05-21,Q2 2026,active
BEN-000262,Kelvin,Koech,Male,Kakamega,Plus,Mentorship,14,16,87.5,Completed,2026-05-09,Q2 2026,completed
BEN-000265,Brenda,Omondi,Female,Mombasa,Plus,Community Service,6,8,75.0,Completed,2025-07-27,Q3 2025,completed
BEN-000266,Zawadi,Katana,Female,Machakos,Plus,Financial Literacy,9,12,75.0,In Progress,2026-08-01,Q3 2026,active
BEN-000278,Brenda,Mutiso,Female,Kakamega,Plus,Life Skills,8,13,61.5,In Progress,2026-04-03,Q2 2026,active
BEN-000281,Esther,Mohamed,Female,Bungoma,Plus,Financial Literacy,6,12,50.0,Completed,2025-12-03,Q4 2025,completed
BEN-000284,Purity,Wafula,Female,Bungoma,Plus,Community Service,6,9,66.7,In Progress,2026-06-07,Q2 2026,active
BEN-000285,Cherono,Barasa,Female,Meru,Plus,Mentorship,13,13,100.0,Completed,2026-05-27,Q2 2026,completed
BEN-000287,Kamau,Charo,Male,Nairobi,Plus,Entrepreneurship,8,11,72.7,In Progress,2026-09-11,Q3 2026,active
BEN-000294,Sharon,Kimani,Female,NAIROBI,Plus,Financial Literacy,9,9,100.0,Completed,2026-03-14,Q1 2026,completed
BEN-000296,Wanjiku,Omondi,Female,Nairobi,Plus,Mentorship,8,14,57.1,Dropped,2026-03-31,Q1 2026,dropped_out
BEN-000297,Peter,Musyoka,m,Kisumu,Plus,Life Skills,8,10,80.0,In Progress,2026-08-29,Q3 2026,active
BEN-000300,Beatrice,Abdi,Female,mombasa,Plus,Community Service,6,10,60.0,Dropped,2025-11-26,Q4 2025,dropped_out
BEN-000302,Juma,Muthoni,Male,Muranga County,Plus,Financial Literacy,7,12,58.3,Dropped,2025-07-01,Q3 2025,dropped_out
BEN-000304,Wangari,Korir,Female,Nairobi,Plus,Community Service,8,10,80.0,In Progress,2026-09-04,Q3 2026,active
BEN-000309,Kiptoo,Mbogo,Male,Meru,Plus,Leadership,6,9,66.7,Completed,2026-04-04,Q2 2026,completed
BEN-000311,Onyango,Kilonzo,Male,Kisii,Plus,Community Service,5,9,55.6,In Progress,2026-01-28,Q1 2026,active
BEN-000312,Francis,Mwakio,Male,Nakuru,Plus,Life Skills,8,10,80.0,Completed,2025-05-12,Q2 2025,completed
BEN-000314,Vincent,Maina,Male,Muranga,Plus,Mentorship,17,20,85.0,Completed,2026-03-08,Q1 2026,completed
BEN-000321,Barasa,Maina,Male,Kisumu,Plus,Life Skills,8,13,61.5,Completed,2025-01-03,Q1 2025,completed
BEN-000323,Kilonzo,Matano,Male,Kiambu,Plus,Entrepreneurship,8,11,72.7,Completed,2026-04-28,Q2 2026,completed
BEN-000325,Awuor,Achieng,female,Kakamega,Plus,Entrepreneurship,8,10,80.0,COMPLETED,2025-07-30,Q3 2025,completed
BEN-000326,Kevin,Ngugi,Male,Machakos,Plus,Health & Wellness,8,8,100.0,Completed,2025-04-12,Q2 2025,completed
BEN-000327,Isaac,Katana,Male,KISUMU,Plus,Leadership,6,11,54.5,Dropped,2025-11-03,Q4 2025,dropped_out
BEN-000328,Otieno,Hassan,Male,Kiambu,Plus,Mentorship,13,17,76.5,Completed,2026-02-02,Q1 2026,completed
BEN-000333,Naisula,Katana,Female,Nairobi,Plus,Community Service,6,8,75.0,In Progress,2026-06-09,Q2 2026,active
BEN-000337,Patrick,Owino,Male,Kajiado,Plus,Community Service,5,7,71.4,Completed,2025-11-08,Q4 2025,completed
BEN-000339,Nicholas,Mbogo,Male,Nyeri,Plus,Life Skills,10,12,83.3,complete,2026-02-09,Q1 2026,completed
BEN-000342,Zawadi,Ngugi,Female,Kiambu,Plus,Mentorship,18,19,94.7,In Progress,2026-09-11,Q3 2026,active
BEN-000343,Cherono,Kuria,Female,Kisumu,Plus,Entrepreneurship,12,15,80.0,Completed,2026-06-18,Q2 2026,completed
BEN-000344,Emily,Muthoni,Female,Mombasa,Plus,Entrepreneurship,13,15,86.7,Completed,2025-03-14,Q1 2025,completed
BEN-000346,Brenda,Matano,Female,KISUMU,Plus,Community Service,8,10,80.0,Completed,2025-07-30,Q3 2025,completed
BEN-000349,Akinyi,Hassan,female,Meru,Plus,Leadership,9,10,90.0,Completed,2025-10-05,Q4 2025,completed
BEN-000350,Akinyi,Chebet,Female,NAKURU,Plus,Leadership,6,9,66.7,Completed,2025-12-01,Q4 2025,completed
BEN-000351,Vincent,Mwangi,Male,machakos,Plus,Leadership,11,12,91.7,complete,2025-12-01,Q4 2025,completed
BEN-000352,Nkatha,Nduta,Female,Nairobi,Plus,Entrepreneurship,12,14,85.7,In Progress,2026-06-08,Q2 2026,active
BEN-000355,Wanjiru,Otieno,Female,Bungoma,Plus,Health & Wellness,5,9,55.6,In Progress,2026-06-17,Q2 2026,active
BEN-000359,Abdi,Kilonzo,Male,Machakos,Plus,Mentorship,18,19,94.7,Completed,2026-02-20,Q1 2026,completed
BEN-000360,Mumbi,Maina,F,Kisumu,Plus,Mentorship,7,20,35.0,Dropped,2025-08-24,Q3 2025,dropped_out
BEN-000361,Beatrice,Mutiso,Female,Nairobi,Plus,Life Skills,5,11,45.5,Dropped,2026-03-31,Q1 2026,dropped_out
BEN-000364,Mutua,Njoroge,M,Kiambu,Plus,Health & Wellness,7,8,87.5,In Progress,2026-09-18,Q3 2026,active
BEN-000367,Anthony,Chebet,Male,Mombasa,Plus,Community Service,6,9,66.7,Completed,2025-03-28,Q1 2025,completed
BEN-000369,Mercy,Katana,Female,Nyeri,Plus,Health & Wellness,4,7,57.1,Dropped,2026-03-28,Q1 2026,dropped_out
BEN-000370,Kilonzo,Mutiso,Male,nakuru,Plus,Entrepreneurship,5,11,45.5,In Progress,2026-03-09,Q1 2026,active
BEN-000371,Mumbi,Mutiso,f,Machakos,Plus,Mentorship,7,15,46.7,In Progress,2026-04-16,Q2 2026,active
BEN-000372,Anthony,Rotich,m,muranga,Plus,Financial Literacy,9,9,100.0,In Progress,2026-05-30,Q2 2026,active
BEN-000373,Neema,Kuria,Female,Kisii,Plus,Leadership,8,9,88.9,In Progress,2026-02-26,Q1 2026,active
BEN-000374,Akinyi,Odhiambo,F,Kajiado,Plus,Financial Literacy,6,10,60.0,In Progress,2026-08-25,Q3 2026,active
BEN-000378,Mohamed,Chebet,Male,Mombasa,Plus,Leadership,8,8,100.0,Completed,2025-05-29,Q2 2025,completed
BEN-000382,Halima,Kimani,Female,Nairobi,Plus,Community Service,5,6,83.3,In Progress,2026-06-30,Q2 2026,active
BEN-000384,Chebet,Gitau,female,Nairobi,Plus,Financial Literacy,8,8,100.0,Completed,2025-10-14,Q4 2025,completed
BEN-000387,Kendi,Barasa,Female,Kilifi,Plus,Financial Literacy,7,10,70.0,In Progress,2026-09-15,Q3 2026,active
BEN-000389,Jerop,Baya,Female,Kiambu,Plus,Financial Literacy,5,8,62.5,complete,2026-04-21,Q2 2026,completed
BEN-000391,Emmanuel,Kilonzo,Male,Kisumu,Plus,Entrepreneurship,8,11,72.7,In Progress,2026-05-25,Q2 2026,active
BEN-000395,Anthony,Achieng,Male,Nairobi,Plus,Leadership,5,8,62.5,Dropped,2025-09-25,Q3 2025,dropped_out
BEN-000404,Vincent,Baya,Male,Nairobi,Plus,Entrepreneurship,9,11,81.8,In Progress,2026-08-18,Q3 2026,active
BEN-000411,Akinyi,Muthoni,Female,Nairobi,Plus,Community Service,4,7,57.1,In Progress,2026-04-12,Q2 2026,active
BEN-000414,David,Nduta,Male,Mombasa,Plus,Life Skills,11,12,91.7,Completed,2026-04-20,Q2 2026,completed
BEN-000421,Nkatha,Kimani,FEMALE,KISII,Plus,Health & Wellness,6,8,75.0,In Progress,2026-05-19,Q2 2026,active
BEN-000422,John,Katana,MALE,Kiambu,Plus,Life Skills,8,10,80.0,Completed,2025-12-14,Q4 2025,completed
BEN-000424,Victor,Nyambane,Male,Kajiado,Plus,Health & Wellness,5,8,62.5,Completed,2025-03-21,Q1 2025,completed
BEN-000427,Omondi,Kiptoo,Male,Kajiado,Plus,Entrepreneurship,8,11,72.7,In Progress,2026-01-04,Q1 2026,active
BEN-000430,Brian,Koech,Male,Bungoma,Plus,Entrepreneurship,7,10,70.0,Completed,2025-12-22,Q4 2025,completed
BEN-000431,Juma,Juma,Male,Uasin Gishu,Plus,Leadership,11,11,100.0,Completed,2025-09-01,Q3 2025,completed
BEN-000435,Esther,Onyango,Female,Meru,Plus,Life Skills,13,14,92.9,Completed,2025-08-09,Q3 2025,completed
BEN-000438,Beatrice,Rotich,Female,Kajiado,Plus,Health & Wellness,7,10,70.0,Completed,2025-11-15,Q4 2025,completed
BEN-000439,Isaac,Korir,Male,kilifi,Plus,Financial Literacy,5,8,62.5,Dropped,2025-07-31,Q3 2025,dropped_out
BEN-000440,Wanjiru,Kariuki,Female,Nairobi,Plus,Mentorship,14,14,100.0,Completed,2026-02-02,Q1 2026,completed
BEN-000443,Esther,Mbogo,female,Kisumu,Plus,Entrepreneurship,6,15,40.0,Dropped,2026-02-13,Q1 2026,dropped_out
BEN-000448,Anyango,Kamau,female,Mombasa,Plus,Mentorship,15,18,83.3,Completed,2025-08-17,Q3 2025,completed
BEN-000454,Kendi,Onyango,Female,Bungoma,Plus,Health & Wellness,5,7,71.4,Completed,2025-09-14,Q3 2025,completed
BEN-000458,Nasieku,Kilonzo,Female,Meru County,Plus,Health & Wellness,6,6,100.0,Completed,2025-04-15,Q2 2025,completed
BEN-000459,Zawadi,Juma,Female,Kajiado,Plus,Life Skills,12,12,100.0,In Progress,2026-09-19,Q3 2026,active
BEN-000460,Zawadi,Omondi,Female,Bungoma,Plus,Financial Literacy,4,8,50.0,Dropped,2025-07-30,Q3 2025,dropped_out
BEN-000461,Halima,Ochieng,Female,KILIFI,Plus,Financial Literacy,5,9,55.6,COMPLETED,2026-01-01,Q1 2026,completed
BEN-000467,Vincent,Mohamed,Male,Mombasa,Plus,Leadership,7,8,87.5,complete,2025-09-15,Q3 2025,completed
BEN-000468,Rotich,Nyambane,Male,Kisumu,Plus,Mentorship,8,14,57.1,Dropped,2026-06-15,Q2 2026,dropped_out
BEN-000469,Nyambura,Omondi,Female,Nairobi,Plus,Leadership,6,9,66.7,Dropped,2025-10-27,Q4 2025,dropped_out
BEN-000471,Emily,Mohamed,Female,Kiambu,Plus,Leadership,5,9,55.6,Dropped,2025-05-06,Q2 2025,dropped_out
BEN-000472,Purity,Cheruiyot,Female,Uasin Gishu County,Plus,Leadership,9,11,81.8,In Progress,2026-04-21,Q2 2026,active
BEN-000473,Anthony,Ngugi,Male,Kakamega,Plus,Mentorship,14,14,100.0,In Progress,2026-08-30,Q3 2026,active
BEN-000475,Dennis,Mohamed,Male,Kisumu,Plus,Leadership,10,10,100.0,In Progress,2026-03-17,Q1 2026,active
BEN-000479,Mumbi,Mutua,Female,Kilifi,Plus,Community Service,6,6,100.0,Completed,2025-04-09,Q2 2025,completed
