beneficiary_id,first_name,last_name,gender,county,program,course,training_center,attendance_rate,completion_status,certification_status,employment_status,enrollment_date,reporting_period,status
BEN-000073,Njeri,Mutua,Female,Kajiado,Vocational,Motor Vehicle Mechanics,Kilifi Vocational Training Centre,91.2,Completed,Certified,Unemployed,2025-07-31,Q3 2025,completed
BEN-000075,Akinyi,Njoroge,Female,Kiambu,Vocational,Carpentry,Thika Technical Training Institute,78.1,In Progress,Pending,Unemployed,2026-09-20,Q3 2026,active
BEN-000078,Barasa,Kilonzo,Male,Nyeri,Vocational,Carpentry,Nyeri Technical Training Institute,89.1,In Progress,Pending,Self-Employed,2026-08-20,Q3 2026,active
BEN-000086,Sharon,Rotich,Female,Kajiado,Vocational,Hairdressing,Thika Technical Training Institute,81.0,Completed,Certified,Self-Employed,2025-10-05,Q4 2025,completed
BEN-000107,Mercy,Wafula,Female,Kiambu,Vocational,Agriculture,Thika Technical Training Institute,91.4,Dropped,Not Certified,Unemployed,2025-09-19,Q3 2025,dropped_out
BEN-000122,Kevin,Kamau,Male,Uasin Gishu,Vocational,Electrical Installation,Eldoret Polytechnic,57.7,In Progress,Pending,Self-Employed,2026-07-26,Q3 2026,active
BEN-000124,Kipchoge,Ochieng,Male,nakuru,Vocational,Carpentry,Nakuru Vocational Training Centre,75.3,In Progress,Pending,Unemployed,2026-05-29,Q2 2026,active
BEN-000137,Jerop,Cheruiyot,Female,kilifi,Vocational,Electrical Installation,Kilifi Vocational Training Centre,82.4,Completed,Pending,Employed,2025-07-18,Q3 2025,completed
BEN-000139,Chebet,Kariuki,f,Kakamega,Vocational,Motor Vehicle Mechanics,Kakamega Technical Training Institute,71.1,In Progress,Pending,Unemployed,2026-08-08,Q3 2026,active
BEN-000143,Nkatha,Njenga,Female,Nakuru,Vocational,Electrical Installation,Nakuru Vocational Training Centre,77.0,In Progress,Pending,Self-Employed,2026-06-03,Q2 2026,active
BEN-000154,Kipchoge,Bett,Male,Kisumu,Vocational,Cooking & Catering,Kisumu Technical Training Institute,89.3,Completed,Certified,Self-Employed,2025-01-06,Q1 2025,completed
BEN-000160,Beatrice,Wafula,Female,Muranga,Vocational,Carpentry,Eldoret Polytechnic,92.2,Completed,Pending,Employed,2025-12-09,Q4 2025,completed
BEN-000174,Wanjiku,Juma,Female,Machakos,Vocational,Electrical Installation,Machakos Institute of Technology,93.1,In Progress,Pending,Unemployed,2026-05-24,Q2 2026,active
BEN-000178,Odhiambo,Kamau,Male,kisumu,Vocational,Hairdressing,Kisumu Technical Training Institute,57.2,In Progress,Pending,Unemployed,2026-08-27,Q3 2026,active
BEN-000180,Juma,Mohamed,Male,Nairobi,Vocational,Beauty Therapy,Nairobi TVET,92.0,Completed,Certified,Self-Employed,2025-08-09,Q3 2025,completed
BEN-000184,Vincent,Owino,Male,Kakamega,Vocational,Carpentry,Kakamega Technical Training Institute,81.4,In Progress,Pending,Unemployed,2026-08-08,Q3 2026,active
BEN-000185,Dennis,Owino,Male,Machakos,Vocational,Beauty Therapy,Machakos Institute of Technology,87.3,In Progress,Pending,Self-Employed,2026-05-20,Q2 2026,active
BEN-000186,Caroline,Kilonzo,Female,Kakamega,Vocational,Hairdressing,Kakamega Technical Training Institute,73.2,In Progress,Pending,Unemployed,2026-08-29,Q3 2026,active
BEN-000187,Gathoni,Charo,Female,Uasin Gishu,Vocational,Hairdressing,Eldoret Polytechnic,97.5,In Progress,Pending,Unemployed,2025-10-06,Q4 2025,active
BEN-000190,Kagure,Muthoni,Female,Nakuru,Vocational,Carpentry,Nakuru Vocational Training Centre,94.5,Dropped,Not Certified,Unemployed,2025-11-27,Q4 2025,dropped_out
BEN-000193,Korir,Maina,Male,Kiambu,Vocational,Plumbing,Thika Technical Training Institute,94.2,In Progress,Pending,Employed,2026-07-24,Q3 2026,active
BEN-000199,Diana,Matano,Female,Nakuru,Vocational,Beauty Therapy,Nakuru Vocational Training Centre,70.6,In Progress,Pending,Unemployed,2026-01-04,Q1 2026,active
BEN-000208,Cynthia,Chebet,Female,nairobi,Vocational,Plumbing,Nairobi TVET,65.7,Completed,Certified,Internship,2025-07-20,Q3 2025,completed
BEN-000219,Vincent,Otieno,Male,Nairobi,Vocational,Electrical Installation,Nairobi TVET,93.5,Dropped,Not Certified,Unemployed,2025-06-12,Q2 2025,dropped_out
BEN-000226,Mumbi,Kariuki,Female,Kiambu,Vocational,Tailoring,Thika Technical Training Institute,79.5,Completed,Certified,Internship,2025-04-30,Q2 2025,completed
BEN-000227,Cherono,Otieno,Female,Kajiado,Vocational,Hairdressing,Machakos Institute of Technology,77.8,In Progress,Pending,Employed,2026-09-25,Q3 2026,active
BEN-000231,Atieno,Kiptoo,Female,Nairobi,Vocational,Agriculture,Nairobi TVET,87.3,Completed,Certified,Employed,2025-07-18,Q3 2025,completed
BEN-000232,Rotich,Katana,Male,Nakuru,Vocational,Tailoring,Nakuru Vocational Training Centre,74.8,COMPLETED,Certified,Employed,2025-12-12,Q4 2025,completed
BEN-000244,Esther,Mutiso,Female,Kilifi,Vocational,Carpentry,Kilifi Vocational Training Centre,70.6,Dropped,Not Certified,Unemployed,2026-03-07,Q1 2026,dropped_out
BEN-000254,Jerop,Rotich,Female,Nairobi,Vocational,Electrical Installation,Nairobi TVET,70.8,In Progress,Pending,Unemployed,2026-08-25,Q3 2026,active
BEN-000266,Anyango,Odhiambo,f,Kiambu,Vocational,Welding,Thika Technical Training Institute,73.1,Completed,Certified,Unemployed,2025-11-14,Q4 2025,completed
BEN-000267,Joy,Barasa,Female,Nakuru,Vocational,Motor Vehicle Mechanics,Nakuru Vocational Training Centre,82.5,In Progress,Pending,Employed,2026-05-22,Q2 2026,active
BEN-000287,Nyambura,Charo,Female,Kilifi,Vocational,Welding,Kilifi Vocational Training Centre,73.8,Dropped,Not Certified,Self-Employed,2025-03-29,Q1 2025,dropped_out
BEN-000288,Anthony,Gitau,Male,Meru,Vocational,Electrical Installation,Meru Technical Training Institute,86.4,In Progress,Pending,Self-Employed,2026-04-26,Q2 2026,active
BEN-000298,Timothy,Odhiambo,MALE,Nairobi,Vocational,Welding,Nairobi TVET,79.1,In Progress,Pending,Unemployed,2026-07-27,Q3 2026,active
BEN-000308,Kiptoo,Kilonzo,Male,Kajiado,Vocational,Hairdressing,Mombasa Technical Training Institute,64.3,Completed,Certified,Unemployed,2025-12-02,Q4 2025,completed
BEN-000309,Achieng,Wafula,Female,Nakuru,Vocational,Cooking & Catering,Nakuru Vocational Training Centre,86.7,In Progress,Pending,Self-Employed,2026-08-20,Q3 2026,active
BEN-000313,David,Bett,Male,Machakos,Vocational,Electrical Installation,Machakos Institute of Technology,82.9,Completed,Certified,Employed,2026-03-24,Q1 2026,completed
BEN-000318,Akinyi,Koech,Female,Kisumu,Vocational,Agriculture,Kisumu Technical Training Institute,81.9,In Progress,Pending,Employed,2026-06-22,Q2 2026,active
BEN-000330,Peter,Cheruiyot,Male,Nairobi,Vocational,Agriculture,Nairobi TVET,79.2,In Progress,Pending,Employed,2026-01-12,Q1 2026,active
BEN-000336,Joseph,Nyambane,Male,Kakamega,Vocational,Carpentry,Kakamega Technical Training Institute,71.1,In Progress,Pending,Employed,2026-09-26,Q3 2026,active
BEN-000337,Victor,Gitau,Male,Kilifi,Vocational,Electrical Installation,Kilifi Vocational Training Centre,78.8,In Progress,Pending,Employed,2025-11-09,Q4 2025,active
BEN-000342,Cheruiyot,Kamau,Male,Uasin Gishu,Vocational,Cooking & Catering,Eldoret Polytechnic,80.9,Completed,Certified,Employed,2025-07-27,Q3 2025,completed
BEN-000364,Joy,Mohamed,Female,Nairobi,Vocational,Electrical Installation,Nairobi TVET,86.8,In Progress,Pending,Self-Employed,2026-06-13,Q2 2026,active
BEN-000371,Beatrice,Nduta,Female,Nairobi,Vocational,Hairdressing,Nairobi TVET,90.6,DROPPED,Not Certified,Employed,2025-01-06,Q1 2025,dropped_out
BEN-000373,Achieng,Bett,Female,Kakamega,Vocational,Beauty Therapy,Kakamega Technical Training Institute,80.6,Dropped,Not Certified,Unemployed,2026-02-08,Q1 2026,dropped_out
BEN-000378,Zawadi,Kiptoo,Female,Nairobi,Vocational,Carpentry,Nairobi TVET,100.0,In Progress,Pending,Self-Employed,2026-06-16,Q2 2026,active
BEN-000379,Timothy,Mwakio,Male,Kisumu,Vocational,Hairdressing,Kisumu Technical Training Institute,75.8,Dropped,Not Certified,Unemployed,2025-05-17,Q2 2025,dropped_out
BEN-000382,Neema,Musyoka,Female,Nakuru,Vocational,Motor Vehicle Mechanics,Nakuru Vocational Training Centre,94.3,In Progress,Pending,Unemployed,2026-02-17,Q1 2026,active
BEN-000383,Cherono,Achieng,Female,Muranga,Vocational,Cooking & Catering,Kakamega Technical Training Institute,81.4,Completed,Certified,Internship,2025-02-13,Q1 2025,completed
BEN-000386,Francis,Hassan,Male,Uasin Gishu,Vocational,Hairdressing,Eldoret Polytechnic,78.8,In Progress,Pending,Unemployed,2025-10-04,Q4 2025,active
BEN-000396,Caroline,Muthoni,Female,Kiambu,Vocational,Electrical Installation,Thika Technical Training Institute,98.0,Completed,Certified,Self-Employed,2025-09-07,Q3 2025,completed
BEN-000397,Emmanuel,Matano,Male,Machakos,Vocational,Carpentry,Machakos Institute of Technology,70.7,In Progress,Pending,Self-Employed,2026-09-19,Q3 2026,active
BEN-000398,Baraka,Musyoka,Male,Machakos,Vocational,Motor Vehicle Mechanics,Machakos Institute of Technology,81.4,complete,Certified,Employed,2026-02-03,Q1 2026,completed
BEN-000408,David,Wanjiku,Male,Kiambu,Vocational,Beauty Therapy,Thika Technical Training Institute,91.7,In Progress,Pending,Unemployed,2026-07-29,Q3 2026,active
BEN-000409,Sharon,Koech,Female,Nakuru,Vocational,Welding,Nakuru Vocational Training Centre,100.0,In Progress,Pending,Self-Employed,2026-08-28,Q3 2026,active
BEN-000422,Wanjiru,Chebet,Female,Kisumu,Vocational,Carpentry,Kisumu Technical Training Institute,72.7,In Progress,Pending,Unemployed,2026-01-04,Q1 2026,active
BEN-000425,Sharon,Mwangi,Female,Muranga,Vocational,Beauty Therapy,Thika Technical Training Institute,86.1,In Progress,Pending,Unemployed,2026-08-21,Q3 2026,active
BEN-000426,Otieno,Muthoni,Male,Muranga,Vocational,Motor Vehicle Mechanics,Machakos Institute of Technology,80.5,In Progress,Pending,Employed,2026-04-15,Q2 2026,active
BEN-000430,Beatrice,Kiptoo,Female,Muranga,Vocational,Motor Vehicle Mechanics,Kakamega Technical Training Institute,87.4,In Progress,Pending,Employed,2026-05-06,Q2 2026,active
BEN-000435,Purity,Ochieng,F,Mombasa,Vocational,Motor Vehicle Mechanics,Mombasa Technical Training Institute,77.8,In Progress,Pending,Unemployed,2026-07-12,Q3 2026,active
BEN-000444,Joseph,Maina,Male,Bungoma,Vocational,Welding,Bungoma Technical Training Institute,67.8,Completed,Certified,Internship,2025-10-14,Q4 2025,completed
BEN-000457,Achieng,Bett,Female,Nairobi,Vocational,Carpentry,Nairobi TVET,91.2,COMPLETED,Certified,Unemployed,2025-02-18,Q1 2025,completed
BEN-000458,Odhiambo,Nduta,Male,Kiambu,Vocational,Tailoring,Thika Technical Training Institute,100.0,Completed,Certified,Unemployed,2025-05-21,Q2 2025,completed
BEN-000461,Akinyi,Mwakio,Female,Meru,Vocational,Plumbing,Meru Technical Training Institute,74.7,Completed,Pending,Unemployed,2025-06-01,Q2 2025,completed
BEN-000478,Vincent,Wanjiku,Male,Kilifi,Vocational,Welding,Kilifi Vocational Training Centre,84.1,In Progress,Pending,Self-Employed,2026-07-01,Q3 2026,active
BEN-000480,Isaac,Owino,Male,Kakamega,Vocational,Beauty Therapy,Kakamega Technical Training Institute,81.7,In Progress,Pending,Self-Employed,2026-08-14,Q3 2026,active
BEN-000483,Gathoni,Odhiambo,Female,Nyeri,Vocational,Beauty Therapy,Nyeri Technical Training Institute,92.5,In Progress,Pending,Unemployed,2026-08-24,Q3 2026,active
BEN-000500,Chebet,Wekesa,Female,Mombasa,Vocational,Cooking & Catering,Mombasa Technical Training Institute,71.2,In Progress,Pending,Self-Employed,2026-01-15,Q1 2026,active
BEN-000501,Cynthia,Mutiso,Female,Kisumu,Vocational,Beauty Therapy,Kisumu Technical Training Institute,76.6,In Progress,Pending,Unemployed,2026-05-20,Q2 2026,active
BEN-000508,Wekesa,Ochieng,Male,Machakos,Vocational,Carpentry,Machakos Institute of Technology,75.3,In Progress,Pending,Employed,2025-12-20,Q4 2025,active
BEN-000510,Isaac,Maina,Male,Kiambu,Vocational,Motor Vehicle Mechanics,Thika Technical Training Institute,89.6,In Progress,Pending,Unemployed,2026-09-27,Q3 2026,active
BEN-000511,Kiptoo,Omondi,Male,MOMBASA,Vocational,Agriculture,Mombasa Technical Training Institute,63.8,In Progress,Pending,Unemployed,2026-08-16,Q3 2026,active
BEN-000522,Awuor,Omondi,f,NAIROBI,Vocational,Beauty Therapy,Nairobi TVET,84.5,Completed,Certified,Self-Employed,2025-11-26,Q4 2025,completed
BEN-000530,Halima,Muthoni,Female,Kisii,Vocational,Tailoring,Kisii National Polytechnic,84.1,Completed,Certified,Unemployed,2025-05-30,Q2 2025,completed
BEN-000533,Kevin,Charo,Male,KILIFI,Vocational,Plumbing,Kilifi Vocational Training Centre,73.4,In Progress,Pending,Unemployed,2026-02-13,Q1 2026,active
BEN-000570,Anthony,Achieng,Male,Nairobi,Vocational,Agriculture,Nairobi TVET,70.9,In Progress,Pending,Self-Employed,2026-05-17,Q2 2026,active
BEN-000573,Naisula,Mbogo,Female,Nairobi,Vocational,Welding,Nairobi TVET,78.6,Completed,Certified,Self-Employed,2025-04-09,Q2 2025,completed
BEN-000576,Emmanuel,Mwakio,Male,Nairobi,Vocational,Cooking & Catering,Nairobi TVET,100.0,Completed,Certified,Internship,2025-07-20,Q3 2025,completed
BEN-000581,Caroline,Ochieng,Female,Nairobi,Vocational,Plumbing,Nairobi TVET,78.8,In Progress,Pending,Self-Employed,2026-08-21,Q3 2026,active
BEN-000594,Kiptoo,Njenga,Male,Meru,Vocational,Motor Vehicle Mechanics,Meru Technical Training Institute,72.5,Dropped,Not Certified,Unemployed,2025-05-09,Q2 2025,dropped_out
BEN-000595,Rotich,Ngugi,Male,Nakuru,Vocational,Tailoring,Nakuru Vocational Training Centre,97.2,In Progress,Pending,Unemployed,2026-04-30,Q2 2026,active
BEN-000598,Wekesa,Juma,Male,Nakuru,Vocational,Beauty Therapy,Nakuru Vocational Training Centre,95.1,Completed,Pending,Self-Employed,2025-07-21,Q3 2025,completed
BEN-000601,Anthony,Mwangi,Male,Bungoma,Vocational,Hairdressing,Bungoma Technical Training Institute,76.5,In Progress,Pending,Self-Employed,2026-09-16,Q3 2026,active
BEN-000613,Cheruiyot,Otieno,Male,Meru,Vocational,Agriculture,Meru Technical Training Institute,90.6,Completed,Certified,Employed,2025-11-10,Q4 2025,completed
BEN-000619,Wanjiru,Onyango,Female,Nakuru,Vocational,Plumbing,Nakuru Vocational Training Centre,71.3,In Progress,Pending,Unemployed,2026-06-13,Q2 2026,active
BEN-000624,Chepkoech,Katana,Female,Kiambu,Vocational,Tailoring,Thika Technical Training Institute,91.6,In Progress,Pending,Unemployed,2026-06-11,Q2 2026,active
BEN-000629,Rotich,Onyango,Male,Nairobi,Vocational,Motor Vehicle Mechanics,Nairobi TVET,89.7,In Progress,Pending,Self-Employed,2026-05-10,Q2 2026,active
BEN-000630,Otieno,Ngugi,Male,Muranga,Vocational,Cooking & Catering,Mombasa Technical Training Institute,66.9,Dropped,Not Certified,Unemployed,2025-08-21,Q3 2025,dropped_out
BEN-000637,Mumbi,Katana,Female,Machakos,Vocational,Carpentry,Machakos Institute of Technology,78.1,Dropped,Not Certified,Unemployed,2026-03-30,Q1 2026,dropped_out
BEN-000642,Wangari,Muthoni,Female,Nairobi,Vocational,Hairdressing,Nairobi TVET,72.1,Dropped,Not Certified,Employed,2025-06-25,Q2 2025,dropped_out
BEN-000651,Nasieku,Mohamed,Female,Meru,Vocational,Agriculture,Meru Technical Training Institute,82.1,Completed,Certified,Unemployed,2025-02-11,Q1 2025,completed
BEN-000657,Wanjiku,Kuria,Female,Nairobi,Vocational,Hairdressing,Nairobi TVET,91.9,Dropped,Not Certified,Unemployed,2025-03-27,Q1 2025,dropped_out
BEN-000663,Daniel,Mwangi,Male,Kilifi,Vocational,Cooking & Catering,Kilifi Vocational Training Centre,72.1,In Progress,Pending,Unemployed,2026-07-16,Q3 2026,active
BEN-000664,Collins,Ochieng,Male,Bungoma,Vocational Program,Motor Vehicle Mechanics,Bungoma Technical Training Institute,79.6,Completed,Certified,Self-Employed,2025-10-13,Q4 2025,completed
BEN-000672,Wangari,Maina,Female,Nairobi,Vocational,Welding,Nairobi TVET,79.4,Completed,Certified,Employed,2025-10-19,Q4 2025,completed
BEN-000675,Juma,Muthoni,Male,nairobi,Vocational,Electrical Installation,Nairobi TVET,91.6,Completed,Pending,Internship,2025-05-28,Q2 2025,completed
BEN-000685,Gathoni,Muthoni,Female,Kiambu,Vocational,Plumbing,Thika Technical Training Institute,80.8,In Progress,Pending,Self-Employed,2026-08-21,Q3 2026,active
BEN-000692,Ali,Kilonzo,Male,Machakos,Vocational,Carpentry,Machakos Institute of Technology,83.3,Completed,Certified,Employed,2025-09-29,Q3 2025,completed
BEN-000694,Kagure,Katana,Female,Meru,Vocational,Agriculture,Meru Technical Training Institute,96.2,Completed,Pending,Self-Employed,2025-04-22,Q2 2025,completed
BEN-000702,Mutua,Achieng,Male,Bungoma,Vocational,Agriculture,Bungoma Technical Training Institute,85.8,In Progress,Pending,Unemployed,2026-03-27,Q1 2026,active
BEN-000706,Akinyi,Wanjiku,Female,Kisumu,Vocational,Carpentry,Kisumu Technical Training Institute,80.2,Completed,Certified,Employed,2025-01-17,Q1 2025,completed
BEN-000708,Emily,Musyoka,Female,Kiambu,Vocational,Agriculture,Thika Technical Training Institute,88.5,In Progress,Pending,Unemployed,2025-11-18,Q4 2025,active
BEN-000717,Wangari,Abdi,Female,Kisumu,Vocational,Plumbing,Kisumu Technical Training Institute,56.3,In Progress,Pending,Employed,2026-09-12,Q3 2026,active
BEN-000721,Sharon,Odhiambo,Female,Nakuru,Vocational,Electrical Installation,Nakuru Vocational Training Centre,61.4,Completed,Certified,Unemployed,2025-02-01,Q1 2025,completed
BEN-000723,Joy,Baya,Female,Uasin Gishu County,Vocational,Motor Vehicle Mechanics,Eldoret Polytechnic,87.0,In Progress,Pending,Unemployed,2026-08-01,Q3 2026,active
BEN-000725,Kipchoge,Bett,Male,Kiambu,Vocational,Carpentry,Thika Technical Training Institute,89.1,In Progress,Pending,Unemployed,2026-07-21,Q3 2026,active
BEN-000728,Mutua,Onyango,Male,Machakos,Vocational,Welding,Machakos Institute of Technology,98.2,In Progress,Pending,Unemployed,2026-04-19,Q2 2026,active
BEN-000732,Kendi,Hassan,Female,Nakuru,Vocational,Motor Vehicle Mechanics,Nakuru Vocational Training Centre,82.3,Completed,Certified,Self-Employed,2025-09-17,Q3 2025,completed
BEN-000733,Isaac,Mwakio,MALE,nyeri,Vocational,Welding,Nyeri Technical Training Institute,79.0,COMPLETED,Certified,Unemployed,2025-09-15,Q3 2025,completed
BEN-000736,Musyoka,Koech,Male,kiambu,Vocational,Tailoring,Thika Technical Training Institute,79.4,Dropped,Not Certified,Unemployed,2025-11-21,Q4 2025,dropped_out
BEN-000737,Kipchoge,Ochieng,Male,Machakos,Vocational,Agriculture,Machakos Institute of Technology,95.4,In Progress,Pending,Unemployed,2026-04-23,Q2 2026,active
BEN-000738,Cynthia,Mutiso,Female,Nairobi,Vocational,Tailoring,Nairobi TVET,100.0,In Progress,Pending,Employed,2026-05-14,Q2 2026,active
BEN-000740,Collins,Mohamed,Male,Kajiado,Vocational,Hairdressing,Kisii National Polytechnic,93.3,Completed,Certified,Employed,2025-08-16,Q3 2025,completed
BEN-000750,Zawadi,Ochieng,Female,Nyeri,Vocational,Motor Vehicle Mechanics,Nyeri Technical Training Institute,77.8,Completed,Certified,Employed,2026-03-26,Q1 2026,completed
BEN-000761,Esther,Kariuki,Female,Bungoma,Vocational,Plumbing,Bungoma Technical Training Institute,77.4,Completed,Certified,Employed,2025-09-05,Q3 2025,completed
BEN-000762,Joseph,Kariuki,Male,Nairobi,Vocational,Beauty Therapy,Nairobi TVET,77.3,Completed,Certified,Unemployed,2025-01-19,Q1 2025,completed
BEN-000764,Otieno,Muthoni,Male,kiambu,Vocational,Plumbing,Thika Technical Training Institute,71.4,In Progress,Pending,Employed,2026-01-22,Q1 2026,active
BEN-000772,Njeri,Rotich,Female,Machakos,Vocational,Tailoring,Machakos Institute of Technology,85.0,Dropped,Not Certified,Unemployed,2025-06-05,Q2 2025,dropped_out
BEN-000780,Nyambura,Korir,Female,Muranga,Vocational,Beauty Therapy,Mombasa Technical Training Institute,100.0,In Progress,Pending,Unemployed,2026-02-01,Q1 2026,active
BEN-000790,Faith,Muthoni,Female,Nakuru,Vocational,Agriculture,Nakuru Vocational Training Centre,86.9,dropped out,Not Certified,Self-Employed,2025-11-09,Q4 2025,dropped_out
BEN-000792,Vincent,Mohamed,Male,Nairobi,Vocational,Welding,Nairobi TVET,80.6,Completed,Certified,Employed,2025-11-28,Q4 2025,completed
BEN-000795,Wekesa,Rotich,Male,Uasin Gishu,Vocational,Motor Vehicle Mechanics,Eldoret Polytechnic,89.7,Completed,Certified,Unemployed,2025-07-28,Q3 2025,completed
BEN-000803,Onyango,Cheruiyot,Male,nakuru,Vocational,Agriculture,Nakuru Vocational Training Centre,63.7,Completed,Certified,Self-Employed,2025-06-09,Q2 2025,completed
BEN-000818,Joseph,Ngugi,Male,Machakos,Vocational Program,Electrical Installation,Machakos Institute of Technology,76.3,COMPLETED,Certified,Unemployed,2025-02-04,Q1 2025,completed
BEN-000823,Nkatha,Njoroge,Female,Muranga,Vocational,Cooking & Catering,Kisii National Polytechnic,78.5,In Progress,Pending,Self-Employed,2026-01-31,Q1 2026,active
BEN-000825,Wangari,Bett,Female,Kisii,Vocational,Motor Vehicle Mechanics,Kisii National Polytechnic,72.9,Dropped,Not Certified,Unemployed,2025-06-04,Q2 2025,dropped_out
BEN-000826,Anyango,Mutiso,Female,Mombasa,Vocational,Agriculture,Mombasa Technical Training Institute,76.3,In Progress,Pending,Unemployed,2026-09-14,Q3 2026,active
BEN-000830,Cynthia,Mwangi,Female,Machakos,Vocational,Tailoring,Machakos Institute of Technology,75.5,Dropped,Not Certified,Employed,2025-05-06,Q2 2025,dropped_out
BEN-000835,Simon,Mbogo,Male,Kakamega,Vocational,Electrical Installation,Kakamega Technical Training Institute,76.5,In Progress,Pending,Unemployed,2026-05-10,Q2 2026,active
BEN-000836,Baraka,Ngugi,Male,Muranga,Vocational,Cooking & Catering,Kisumu Technical Training Institute,75.8,In Progress,Pending,Employed,2025-11-05,Q4 2025,active
BEN-000845,Anyango,Musyoka,Female,Kisumu,Vocational,Hairdressing,Kisumu Technical Training Institute,69.4,Completed,Certified,Employed,2025-09-02,Q3 2025,completed
BEN-000849,Otieno,Abdi,Male,Nyeri,Vocational,Cooking & Catering,Nyeri Technical Training Institute,94.2,In Progress,Pending,Self-Employed,2026-06-09,Q2 2026,active
BEN-000854,Kipchoge,Mwakio,Male,Uasin Gishu,Vocational,Motor Vehicle Mechanics,Eldoret Polytechnic,70.5,In Progress,Pending,Unemployed,2026-05-31,Q2 2026,active
BEN-000879,Zawadi,Mutua,Female,Kajiado,Vocational,Carpentry,Kisumu Technical Training Institute,98.9,In Progress,Pending,Self-Employed,2026-04-24,Q2 2026,active
BEN-000880,Kipchoge,Mutua,Male,Meru,Vocational,Motor Vehicle Mechanics,Meru Technical Training Institute,65.1,Completed,Certified,Self-Employed,2025-08-26,Q3 2025,completed
BEN-000885,Mercy,Koech,Female,Kisii,Vocational,Cooking & Catering,Kisii National Polytechnic,83.9,Completed,Certified,Self-Employed,2025-06-05,Q2 2025,completed
BEN-000890,Nasieku,Wanjiku,Female,Muranga,Vocational,Carpentry,Nyeri Technical Training Institute,78.7,In Progress,Pending,Unemployed,2026-02-08,Q1 2026,active
BEN-000901,Kamau,Mbogo,Male,Mombasa,Vocational,Carpentry,Mombasa Technical Training Institute,78.7,In Progress,Pending,Self-Employed,2026-06-23,Q2 2026,active
BEN-000912,Omondi,Kimani,m,Nairobi,Vocational,Plumbing,Nairobi TVET,80.4,In Progress,Pending,Unemployed,2026-07-09,Q3 2026,active
BEN-000920,Emmanuel,Baya,Male,NAIROBI,Vocational,Welding,Nairobi TVET,88.2,Completed,Certified,Employed,2025-06-23,Q2 2025,completed
BEN-000921,Halima,Abdi,Female,Muranga,Vocational,Cooking & Catering,Kakamega Technical Training Institute,99.8,In Progress,Pending,Unemployed,2026-09-08,Q3 2026,active
BEN-000927,Naisula,Charo,Female,Nairobi,Vocational,Plumbing,Nairobi TVET,80.8,In Progress,Pending,Unemployed,2026-07-24,Q3 2026,active
BEN-000928,Atieno,Bett,Female,Kisii,Vocational,Electrical Installation,Kisii National Polytechnic,75.0,Dropped,Not Certified,Unemployed,2025-04-30,Q2 2025,dropped_out
BEN-000936,Kilonzo,Kiptoo,Male,Nairobi,Vocational,Welding,Nairobi TVET,96.2,Completed,Certified,Unemployed,2025-08-13,Q3 2025,completed
BEN-000946,Joy,Kuria,Female,Kiambu,Vocational,Cooking & Catering,Thika Technical Training Institute,90.0,In Progress,Pending,Employed,2026-08-17,Q3 2026,active
