beneficiary_id,first_name,last_name,gender,county,program,institution,education_level,academic_year,attendance_rate,performance_score,completion_status,enrollment_date,reporting_period,status
BEN-000086,Juma,Ngugi,Male,Meru,Scholarship,Moi University,Bachelor,2025/2026,83.9,63.3,In Progress,2026-08-15,Q3 2026,active
BEN-000088,Kamau,Achieng,Male,Kisii,Scholarship,Africa Nazarene University,Bachelor,2024/2025,79.2,37.0,Completed,2025-03-20,Q1 2025,completed
BEN-000089,Brian,Baya,Male,Muranga,Scholarship,Kenyatta University,Master,2024/2025,86.5,61.8,Completed,2025-08-08,Q3 2025,completed
BEN-000090,Amina,Korir,Female,Kisii,Scholarship,Daystar University,Diploma,2025/2026,77.4,59.1,In Progress,2026-01-31,Q1 2026,active
BEN-000091,Odhiambo,Juma,Male,Mombasa,Scholarship,Moi University,Bachelor,2026/2027,86.8,48.9,In Progress,2026-09-18,Q3 2026,active
BEN-000094,James,Wekesa,Male,BUNGOMA,Scholarship,Mount Kenya University,Bachelor,2025/2026,92.9,78.4,In Progress,2026-07-01,Q3 2026,active
BEN-000098,Akinyi,Njenga,Female,Nakuru,Scholarship,Mount Kenya University,Bachelor,2024/2025,84.7,54.3,Dropped,2025-04-28,Q2 2025,dropped_out
BEN-000101,Chepkoech,Maina,Female,Nyeri,Scholarship,Kenyatta University,Bachelor,2026/2027,95.2,84.5,In Progress,2026-09-05,Q3 2026,active
BEN-000108,Awuor,Odhiambo,Female,Kilifi,Scholarship,Kenyatta University,Bachelor,2025/2026,65.5,56.7,Completed,2025-11-01,Q4 2025,completed
BEN-000111,Njeri,Mwangi,Female,kisumu,Scholarship,Maseno University,Bachelor,2025/2026,87.5,45.3,Completed,2025-11-07,Q4 2025,completed
BEN-000112,Awuor,Njoroge,Female,Machakos,Scholarship,Moi University,Diploma,2025/2026,84.8,52.5,In Progress,2026-07-21,Q3 2026,active
BEN-000113,Brenda,Cheruiyot,Female,machakos,Scholarship,Daystar University,Bachelor,2025/2026,85.7,74.3,In Progress,2026-04-26,Q2 2026,active
BEN-000114,Diana,Musyoka,Female,Mombasa,Scholarship,Moi University,Bachelor,2024/2025,81.3,86.8,Completed,2025-03-06,Q1 2025,completed
BEN-000119,Timothy,Katana,Male,Nairobi,Scholarship,Strathmore University,Bachelor,2024/2025,91.1,55.9,Completed,2025-08-18,Q3 2025,completed
BEN-000120,Francis,Charo,Male,Nairobi,Scholarship,Strathmore University,Diploma,2025/2026,100.0,67.5,In Progress,2026-06-04,Q2 2026,active
BEN-000123,Amina,Baya,Female,Uasin Gishu County,Scholarship,Moi University,Diploma,2025/2026,82.4,70.5,Completed,2025-11-13,Q4 2025,completed
BEN-000128,Brian,Korir,Male,Nairobi,Scholarship,Africa Nazarene University,Bachelor,2024/2025,79.1,63.5,Completed,2025-02-13,Q1 2025,completed
BEN-000132,Wangari,Mohamed,Female,Machakos,Scholarship,Mount Kenya University,Bachelor,2024/2025,85.9,79.4,Completed,2025-04-16,Q2 2025,completed
BEN-000134,Kipchoge,Kuria,Male,Kiambu,Scholarship,Daystar University,Bachelor,2025/2026,87.5,60.8,Completed,2025-11-14,Q4 2025,completed
BEN-000137,Kevin,Wekesa,Male,Kakamega,Scholarship,Mount Kenya University,Bachelor,2025/2026,75.2,62.7,In Progress,2026-08-09,Q3 2026,active
BEN-000139,Beatrice,Omondi,F,Nairobi,Scholarship,Maseno University,Bachelor,2025/2026,87.7,99.9,In Progress,2026-08-17,Q3 2026,active
BEN-000146,Nicholas,Hassan,Male,Nairobi,Scholarship,Strathmore University,Bachelor,2026/2027,81.3,56.1,In Progress,2026-09-06,Q3 2026,active
BEN-000149,Francis,Mutua,Male,Kisumu,Scholarship,Mount Kenya University,Bachelor,2025/2026,78.6,53.9,In Progress,2026-06-20,Q2 2026,active
BEN-000150,Mercy,Njoroge,Female,Nakuru,Scholarship,University of Nairobi,Bachelor,2025/2026,99.3,72.6,In Progress,2026-04-01,Q2 2026,active
BEN-000153,Diana,Wafula,Female,Nairobi,Scholarship,Moi University,Bachelor,2025/2026,97.0,40.0,Completed,2026-03-24,Q1 2026,completed
BEN-000156,Daniel,Onyango,Male,Nairobi,Scholarship,Daystar University,Bachelor,2025/2026,83.2,56.5,Completed,2025-09-26,Q3 2025,completed
BEN-000157,Amina,Wekesa,Female,Kajiado,Scholarship,Daystar University,Bachelor,2026/2027,86.1,84.4,In Progress,2026-09-11,Q3 2026,active
BEN-000158,Peter,Onyango,Male,Machakos,Scholarship,Strathmore University,Bachelor,2025/2026,92.0,67.0,In Progress,2025-12-03,Q4 2025,active
BEN-000161,Joy,Kimani,Female,Meru,Scholarship,Daystar University,Bachelor,2025/2026,77.1,74.6,In Progress,2025-11-25,Q4 2025,active
BEN-000162,Akinyi,Njoroge,Female,Nyeri,Scholarship,Catholic University of Eastern Africa,Bachelor,2025/2026,88.7,67.2,In Progress,2026-08-02,Q3 2026,active
BEN-000163,Amina,Wekesa,f,Kajiado,Scholarship,Maseno University,Diploma,2025/2026,98.4,64.4,In Progress,2026-04-24,Q2 2026,active
BEN-000165,Omondi,Wekesa,Male,Uasin Gishu,Scholarship,University of Nairobi,Bachelor,2024/2025,67.6,63.1,Completed,2025-01-18,Q1 2025,completed
BEN-000170,Kendi,Barasa,f,Kiambu,Scholarship,Daystar University,Bachelor,2025/2026,82.7,73.2,In Progress,2026-07-26,Q3 2026,active
BEN-000172,Korir,Mohamed,Male,Nairobi,Scholarship,Jomo Kenyatta University,Bachelor,2025/2026,91.0,54.8,In Progress,2026-08-22,Q3 2026,active
BEN-000175,Onyango,Mwangi,Male,Kakamega,Scholarship,Maseno University,Bachelor,2025/2026,80.5,55.7,Completed,2025-11-02,Q4 2025,completed
BEN-000176,Naisula,Mohamed,Female,Nairobi,Scholarship,Kenyatta University,Bachelor,2025/2026,78.2,75.8,In Progress,2026-05-13,Q2 2026,active
BEN-000177,Sharon,Kimani,Female,Kajiado,Scholarship,Strathmore University,Bachelor,2024/2025,86.2,68.7,Completed,2025-07-30,Q3 2025,completed
BEN-000181,Stephen,Wekesa,Male,Nakuru,Scholarship,Jomo Kenyatta University,Bachelor,2025/2026,74.2,53.0,Completed,2026-03-03,Q1 2026,completed
BEN-000188,Kendi,Onyango,f,Kiambu,Scholarship,Strathmore University,Bachelor,2025/2026,82.3,58.7,Completed,2025-10-30,Q4 2025,completed
BEN-000190,Mutua,Ngugi,Male,Machakos,Scholarship,Jomo Kenyatta University,Bachelor,2024/2025,80.6,59.8,Dropped,2025-05-31,Q2 2025,dropped_out
BEN-000191,Nicholas,Muthoni,Male,Meru,Scholarship,Strathmore University,Diploma,2026/2027,100.0,53.3,In Progress,2026-09-12,Q3 2026,active
BEN-000194,Atieno,Hassan,Female,Machakos,Scholarship,Moi University,Diploma,2025/2026,91.6,82.4,COMPLETED,2025-10-06,Q4 2025,completed
BEN-000195,Cynthia,Rotich,Female,Nairobi,Scholarship,Kenyatta University,Bachelor,2025/2026,95.0,51.9,Completed,2026-01-03,Q1 2026,completed
BEN-000202,Isaac,Wekesa,Male,Kiambu,Scholarship,Daystar University,Bachelor,2025/2026,94.8,81.2,In Progress,2026-08-21,Q3 2026,active
BEN-000205,Kendi,Musyoka,Female,Kajiado,Scholarship,Strathmore University,Master,2024/2025,92.2,62.5,complete,2025-03-30,Q1 2025,completed
BEN-000216,Kendi,Mwakio,Female,Kiambu,Scholarship,Mount Kenya University,Diploma,2024/2025,82.4,78.9,Completed,2025-04-04,Q2 2025,completed
BEN-000217,Joseph,Juma,Male,Mombasa,Scholarship,Catholic University of Eastern Africa,Bachelor,2026/2027,66.9,76.6,In Progress,2026-09-24,Q3 2026,active
BEN-000219,Beatrice,Mwakio,Female,Nairobi,Scholarship,Strathmore University,Bachelor,2025/2026,94.2,78.5,In Progress,2026-05-16,Q2 2026,active
BEN-000220,Wanjiku,Charo,Female,KISUMU,Scholarship,Africa Nazarene University,Diploma,2025/2026,79.6,57.5,In Progress,2026-06-01,Q2 2026,active
BEN-000223,Awuor,Mutua,f,Uasin Gishu,Scholarship,University of Nairobi,Bachelor,2025/2026,82.9,78.7,In Progress,2026-04-19,Q2 2026,active
BEN-000224,James,Muthoni,Male,Kiambu,Scholarship,Mount Kenya University,Bachelor,2025/2026,100.0,85.5,In Progress,2025-11-23,Q4 2025,active
BEN-000237,Brenda,Mwakio,Female,Mombasa,Scholarship,Maseno University,Diploma,2025/2026,79.7,45.9,In Progress,2026-05-29,Q2 2026,active
BEN-000246,Sharon,Juma,Female,Nairobi,Scholarship,Kenyatta University,Bachelor,2024/2025,100.0,77.1,Completed,2025-08-06,Q3 2025,completed
BEN-000253,Samuel,Barasa,Male,Mombasa,Scholarship,Maseno University,Master,2025/2026,85.2,62.3,In Progress,2026-05-14,Q2 2026,active
BEN-000254,Joy,Kimani,Female,Nakuru,Scholarship,Strathmore University,Bachelor,2025/2026,75.1,71.1,Completed,2026-01-31,Q1 2026,completed
BEN-000257,Kiptoo,Mwakio,Male,Bungoma,Scholarship,University of Nairobi,Bachelor,2025/2026,72.8,67.7,In Progress,2025-10-14,Q4 2025,active
BEN-000258,Cheruiyot,Mutua,Male,Kajiado,Scholarship,Moi University,Diploma,2024/2025,87.4,60.4,Completed,2025-05-24,Q2 2025,completed
BEN-000259,Onyango,Muthoni,Male,Kiambu,Scholarship,Jomo Kenyatta University,Bachelor,2025/2026,74.4,76.3,Completed,2025-09-29,Q3 2025,completed
BEN-000267,Sharon,Otieno,Female,Mombasa,Scholarship,Mount Kenya University,Bachelor,2025/2026,80.0,68.3,Completed,2026-01-30,Q1 2026,completed
BEN-000275,Naisula,Chebet,Female,Muranga County,Scholarship,Maseno University,Master,2025/2026,97.7,51.1,In Progress,2026-08-05,Q3 2026,active
BEN-000279,Kamau,Wanjiku,Male,uasin gishu,Scholarship,Strathmore University,Bachelor,2025/2026,75.1,88.8,In Progress,2026-03-21,Q1 2026,active
BEN-000281,Esther,Mohamed,Female,Bungoma,Scholarship,Africa Nazarene University,Bachelor,2025/2026,67.6,55.7,In Progress,2026-08-16,Q3 2026,active
BEN-000284,Purity,Wafula,Female,Bungoma,Scholarship,Mount Kenya University,Bachelor,2025/2026,87.1,50.5,In Progress,2026-03-27,Q1 2026,active
BEN-000285,Cherono,Barasa,Female,Meru,Scholarship,Kenyatta University,Diploma,2024/2025,65.0,68.3,Dropped,2025-03-20,Q1 2025,dropped_out
BEN-000289,Victor,Njoroge,Male,Nairobi,Scholarship,Moi University,Bachelor,2025/2026,93.8,82.0,Completed,2025-09-26,Q3 2025,completed
BEN-000291,Sharon,Koech,Female,Nairobi,Scholarship,Daystar University,Bachelor,2025/2026,78.5,65.7,In Progress,2026-04-17,Q2 2026,active
BEN-000292,Kipchoge,Wanjiku,Male,Kajiado,Scholarship,Mount Kenya University,Bachelor,2024/2025,84.1,59.0,Dropped,2025-04-01,Q2 2025,dropped_out
BEN-000295,Chepkoech,Odhiambo,Female,Mombasa,Scholarship,Mount Kenya University,Bachelor,2024/2025,95.1,75.6,Completed,2025-01-02,Q1 2025,completed
BEN-000299,Joy,Odhiambo,Female,Machakos,Scholarship,Catholic University of Eastern Africa,Master,2026/2027,85.0,38.8,In Progress,2026-09-21,Q3 2026,active
BEN-000300,Beatrice,Abdi,Female,Mombasa,Scholarship,Moi University,Bachelor,2024/2025,80.1,68.3,Dropped,2025-08-17,Q3 2025,dropped_out
BEN-000307,Musyoka,Kimani,Male,Kiambu,Scholarship,Kenyatta University,Master,2025/2026,70.4,64.8,In Progress,2026-08-12,Q3 2026,active
BEN-000311,Onyango,Kilonzo,Male,Kisii,Scholarship,Strathmore University,Bachelor,2025/2026,71.6,64.9,In Progress,2026-01-19,Q1 2026,active
BEN-000314,Vincent,Maina,Male,Muranga,Scholarship,Africa Nazarene University,Master,2024/2025,89.1,64.7,DROPPED,2025-06-09,Q2 2025,dropped_out
BEN-000315,Cherono,Ngugi,Female,Kiambu,Scholarship,University of Nairobi,Bachelor,2025/2026,94.9,36.2,In Progress,2026-07-13,Q3 2026,active
BEN-000317,Jerop,Wanjiku,FEMALE,Nakuru,Scholarship,Mount Kenya University,Bachelor,2024/2025,76.6,80.8,Completed,2025-07-26,Q3 2025,completed
BEN-000318,Kendi,Kilonzo,Female,nyeri,Scholarship,Mount Kenya University,Master,2025/2026,77.1,77.5,Completed,2025-09-12,Q3 2025,completed
BEN-000322,Sharon,Kariuki,Female,KILIFI,Scholarship,Mount Kenya University,Bachelor,2025/2026,68.1,60.6,Dropped,2025-12-18,Q4 2025,dropped_out
BEN-000329,Sharon,Juma,female,Kakamega,Scholarship,Daystar University,Diploma,2025/2026,66.8,60.4,Completed,2025-12-20,Q4 2025,completed
BEN-000334,Isaac,Chebet,Male,Kisumu,Scholarship,Strathmore University,Bachelor,2025/2026,80.4,55.3,Completed,2025-11-12,Q4 2025,completed
BEN-000336,James,Nduta,Male,Mombasa,Scholarship,Mount Kenya University,Diploma,2025/2026,86.5,52.7,In Progress,2026-01-27,Q1 2026,active
BEN-000340,Chepkoech,Baya,Female,Meru,Scholarship,Jomo Kenyatta University,Diploma,2025/2026,75.7,79.4,In Progress,2026-08-16,Q3 2026,active
BEN-000341,Caroline,Odhiambo,Female,Meru,Scholarship,Catholic University of Eastern Africa,Bachelor,2024/2025,88.9,56.4,Dropped,2025-07-04,Q3 2025,dropped_out
BEN-000343,Cherono,Kuria,Female,Kisumu,Scholarship,Maseno University,Bachelor,2025/2026,60.6,65.1,Completed,2026-03-12,Q1 2026,completed
BEN-000345,Wangari,Otieno,Female,kiambu,Scholarship,University of Nairobi,Bachelor,2025/2026,89.7,62.1,In Progress,2026-03-09,Q1 2026,active
BEN-000352,Nkatha,Nduta,Female,Nairobi,Scholarship,Catholic University of Eastern Africa,Bachelor,2025/2026,79.9,72.8,In Progress,2026-04-13,Q2 2026,active
BEN-000354,Daniel,Omondi,m,Kisumu,Scholarship,Africa Nazarene University,Bachelor,2025/2026,69.9,64.0,In Progress,2026-06-29,Q2 2026,active
BEN-000356,Nicholas,Korir,MALE,Kiambu,Scholarship,University of Nairobi,Diploma,2025/2026,100.0,81.2,In Progress,2026-08-28,Q3 2026,active
BEN-000358,Brian,Abdi,Male,Kiambu,Scholarship,Catholic University of Eastern Africa,Diploma,2025/2026,80.5,61.1,Completed,2025-11-10,Q4 2025,completed
BEN-000360,Mumbi,Maina,Female,Kisumu,Scholarship,Strathmore University,Diploma,2025/2026,80.4,79.8,Completed,2026-02-19,Q1 2026,completed
BEN-000362,Timothy,Hassan,Male,Kajiado,Scholarship,Moi University,Bachelor,2025/2026,86.1,79.0,Completed,2025-11-23,Q4 2025,completed
BEN-000363,Nicholas,Kilonzo,Male,Nyeri,Scholarship,Kenyatta University,Diploma,2025/2026,97.6,61.5,In Progress,2025-10-26,Q4 2025,active
BEN-000364,Mutua,Njoroge,Male,Kiambu,Scholarship,Jomo Kenyatta University,Master,2025/2026,94.7,63.5,In Progress,2026-04-15,Q2 2026,active
BEN-000367,Anthony,Chebet,Male,Mombasa,Scholarship,University of Nairobi,Bachelor,2025/2026,89.7,72.9,Completed,2026-02-24,Q1 2026,completed
BEN-000369,Mercy,Katana,Female,Nyeri,Scholarship,Moi University,Bachelor,2025/2026,78.5,74.1,In Progress,2026-08-19,Q3 2026,active
BEN-000370,Kilonzo,Mutiso,Male,Nakuru,Scholarship,Jomo Kenyatta University,Diploma,2025/2026,80.8,64.0,In Progress,2026-06-19,Q2 2026,active
BEN-000376,Stephen,Muthoni,Male,Meru,Scholarship,University of Nairobi,Bachelor,2025/2026,72.2,75.2,In Progress,2026-05-06,Q2 2026,active
BEN-000377,Awuor,Mwangi,Female,Kiambu,Scholarship,Africa Nazarene University,Bachelor,2025/2026,80.1,59.0,In Progress,2026-02-20,Q1 2026,active
BEN-000379,Amina,Katana,Female,Kisumu County,Scholarship,Moi University,Bachelor,2025/2026,74.1,64.4,In Progress,2026-07-27,Q3 2026,active
BEN-000382,Halima,Kimani,Female,Nairobi,Scholarship,Moi University,Bachelor,2024/2025,94.6,66.9,Completed,2025-08-27,Q3 2025,completed
BEN-000384,Chebet,Gitau,Female,Nairobi,Scholarship,Maseno University,Bachelor,2025/2026,98.3,88.9,In Progress,2026-07-24,Q3 2026,active
BEN-000389,Jerop,Baya,Female,Kiambu,Scholarship,Catholic University of Eastern Africa,Diploma,2025/2026,85.1,51.4,Dropped,2025-10-08,Q4 2025,dropped_out
BEN-000395,Anthony,Achieng,Male,Nairobi,Scholarship,Kenyatta University,Master,2025/2026,97.8,82.8,In Progress,2026-04-24,Q2 2026,active
BEN-000401,Korir,Njenga,Male,Meru,Scholarship,Kenyatta University,Bachelor,2025/2026,80.9,83.4,Completed,2026-02-25,Q1 2026,completed
BEN-000402,Stephen,Musyoka,Male,Nyeri,Scholarship,Jomo Kenyatta University,Bachelor,2025/2026,87.4,31.0,In Progress,2026-05-30,Q2 2026,active
BEN-000410,Emmanuel,Hassan,Male,Machakos,Scholarship,Strathmore University,Master,2025/2026,79.0,51.8,In Progress,2026-06-26,Q2 2026,active
BEN-000417,Mercy,Wafula,Female,Kiambu,Scholarship,Africa Nazarene University,Diploma,2025/2026,91.7,65.5,Completed,2026-02-16,Q1 2026,completed
BEN-000419,Kamau,Muthoni,Male,Uasin Gishu,Scholarship,University of Nairobi,Bachelor,2025/2026,65.2,71.0,complete,2026-01-04,Q1 2026,completed
BEN-000428,Cherono,Koech,Female,Nairobi,Scholarship,Jomo Kenyatta University,Bachelor,2025/2026,100.0,90.0,Completed,2025-09-05,Q3 2025,completed
BEN-000429,Atieno,Kuria,Female,Kilifi,Scholarship,Catholic University of Eastern Africa,Master,2025/2026,86.1,64.9,In Progress,2026-04-21,Q2 2026,active
BEN-000430,Brian,Koech,Male,bungoma,Scholarship,Maseno University,Bachelor,2025/2026,91.2,59.2,Completed,2025-09-28,Q3 2025,completed
BEN-000436,Cynthia,Baya,Female,KISII,Scholarship,Maseno University,Master,2025/2026,82.9,64.9,In Progress,2026-08-17,Q3 2026,active
BEN-000438,Beatrice,Rotich,Female,Kajiado,Scholarship,Daystar University,Master,2025/2026,68.4,54.4,Completed,2025-10-04,Q4 2025,completed
BEN-000441,Anyango,Mwangi,Female,Nakuru,Scholarship,Strathmore University,Bachelor,2024/2025,91.0,52.0,Dropped,2025-05-22,Q2 2025,dropped_out
BEN-000442,Emily,Mutiso,Female,Muranga,Scholarship,Mount Kenya University,Bachelor,2024/2025,86.3,54.0,Dropped,2025-01-12,Q1 2025,dropped_out
BEN-000444,Kagure,Musyoka,Female,Nairobi,Scholarship,University of Nairobi,Bachelor,2025/2026,78.6,70.6,In Progress,2026-06-02,Q2 2026,active
BEN-000445,Sharon,Mohamed,Female,Muranga,Scholarship,Daystar University,Bachelor,2025/2026,89.0,62.1,In Progress,2026-07-28,Q3 2026,active
BEN-000448,Anyango,Kamau,Female,Mombasa,Scholarship,Moi University,Diploma,2024/2025,100.0,49.8,Dropped,2025-08-17,Q3 2025,dropped_out
BEN-000450,Joseph,Njenga,Male,Kisumu,Scholarship,Maseno University,Bachelor,2025/2026,62.7,51.0,In Progress,2026-03-12,Q1 2026,active
BEN-000451,Caroline,Njenga,Female,Nyeri,Scholarship,Africa Nazarene University,Bachelor,2025/2026,100.0,58.1,Completed,2025-11-20,Q4 2025,completed
BEN-000454,Kendi,Onyango,Female,Bungoma,Scholarship,Moi University,Bachelor,2025/2026,84.7,91.0,In Progress,2025-12-16,Q4 2025,active
BEN-000456,Juma,Kiptoo,Male,Nakuru,Scholarship,Kenyatta University,Bachelor,2025/2026,81.4,66.9,Completed,2025-09-26,Q3 2025,completed
BEN-000464,John,Omondi,Male,Mombasa,Scholarship,Mount Kenya University,Diploma,2024/2025,68.6,64.6,Completed,2025-07-16,Q3 2025,completed
BEN-000467,Vincent,Mohamed,Male,Mombasa,Scholarship,Strathmore University,Bachelor,2025/2026,82.7,60.7,Completed,2026-03-29,Q1 2026,completed
BEN-000469,Nyambura,Omondi,Female,Nairobi,Scholarship,Kenyatta University,Diploma,2025/2026,100.0,78.9,In Progress,2026-08-24,Q3 2026,active
BEN-000472,Purity,Cheruiyot,Female,Uasin Gishu,Scholarship,Africa Nazarene University,Bachelor,2024/2025,80.7,38.8,Completed,2025-08-23,Q3 2025,completed
BEN-000475,Dennis,Mohamed,Male,Kisumu,Scholarship,Jomo Kenyatta University,Bachelor,2025/2026,76.8,35.6,Completed,2025-09-27,Q3 2025,completed
BEN-000477,Ali,Otieno,Male,KIAMBU,Scholarship,Maseno University,Bachelor,2025/2026,98.8,60.0,complete,2025-12-20,Q4 2025,completed
BEN-000478,David,Kimani,Male,Nairobi,Scholarship,Maseno University,Master,2025/2026,100.0,68.9,Completed,2026-03-13,Q1 2026,completed
BEN-000479,Mumbi,Mutua,Female,Kilifi,Scholarship,Daystar University,Diploma,2025/2026,80.8,59.8,In Progress,2026-05-21,Q2 2026,active
BEN-000483,Cynthia,Bett,Female,Nakuru,Scholarship,Maseno University,Bachelor,2025/2026,93.7,44.7,In Progress,2026-03-02,Q1 2026,active
BEN-000484,Caroline,Muthoni,F,Kisumu,Scholarship,Maseno University,Bachelor,2025/2026,86.8,65.2,In Progress,2026-04-21,Q2 2026,active
BEN-000486,Dennis,Baya,Male,Nairobi,Scholarship,Daystar University,Bachelor,2025/2026,93.2,62.7,Completed,2025-12-27,Q4 2025,completed
BEN-000489,Cheruiyot,Wekesa,Male,Nairobi,Scholarship,Moi University,Diploma,2025/2026,91.2,66.6,In Progress,2025-11-12,Q4 2025,active
BEN-000490,Awuor,Katana,Female,Kakamega,Scholarship,Jomo Kenyatta University,Bachelor,2024/2025,80.3,63.1,Completed,2025-08-09,Q3 2025,completed
BEN-000498,Cheruiyot,Kariuki,Male,Kajiado,Scholarship,Maseno University,Bachelor,2025/2026,84.1,74.0,In Progress,2026-08-02,Q3 2026,active
BEN-000506,Sharon,Musyoka,Female,Nakuru,Scholarship,Catholic University of Eastern Africa,Diploma,2025/2026,77.5,61.1,In Progress,2026-05-08,Q2 2026,active
BEN-000507,Sharon,Kiptoo,Female,Nairobi,Scholarship,Daystar University,Bachelor,2025/2026,81.9,76.0,In Progress,2026-01-10,Q1 2026,active
BEN-000508,Kilonzo,Koech,M,Mombasa,Scholarship,Jomo Kenyatta University,Bachelor,2025/2026,81.8,67.4,Completed,2025-10-17,Q4 2025,completed
BEN-000511,Zawadi,Bett,Female,Nairobi,Scholarship,Strathmore University,Bachelor,2026/2027,95.8,77.5,In Progress,2026-09-06,Q3 2026,active
BEN-000514,Faith,Wafula,Female,Machakos,Scholarship,Catholic University of Eastern Africa,Bachelor,2025/2026,95.0,54.3,In Progress,2026-01-16,Q1 2026,active
BEN-000516,Kipchoge,Wekesa,Male,Nyeri,Scholarship,Kenyatta University,Bachelor,2025/2026,72.3,85.2,In Progress,2026-03-16,Q1 2026,active
BEN-000517,Atieno,Katana,Female,Uasin Gishu,Scholarship,Moi University,Bachelor,2026/2027,87.8,91.4,In Progress,2026-09-17,Q3 2026,active
BEN-000521,Wekesa,Njoroge,Male,NAKURU,Scholarship,Mount Kenya University,Bachelor,2024/2025,67.2,72.4,Completed,2025-07-12,Q3 2025,completed
