beneficiary_id,first_name,last_name,gender,date_of_birth,age,phone,email,county,sub_county
BEN-005630,Wanjiku,Muthoni,Female,1995-08-12,31,254737560663.0,wanjiku.muthoni376@gmail.com,Nairobi,Westlands
BEN-007902,Patrick,Omondi,Male,1998-02-11,28,254764973024.0,,Meru,Tigania West
BEN-003756,Nyambura,Kariuki,Female,1991-10-19,34,254728680314.0,nyambura.kariuki111@gmail.com,Kiambu,Juja
BEN-006029,Joy,Gitau,Female,2002-01-10,24,254714659413.0,joy.gitau215@yahoo.com,Uasin Gishu,Turbo
BEN-006903,Mohamed,Kiptoo,Male,1991-05-07,35,254790984825.0,mohamed.kiptoo179@yahoo.com,Mombasa,Jomvu
BEN-004920,Amina,Wafula,Female,1999-10-23,26,254773502017.0,amina.wafula687@gmail.com,Machakos,Masinga
BEN-002911,Kipchoge,Kilonzo,Male,1991-01-02,35,254745651725.0,kipchoge.kilonzo268@gmail.com,Nairobi,Langata
BEN-003428,Anyango,Otieno,Female,1998-06-09,28,254770680283.0,anyango.otieno635@yahoo.com,Mombasa,Kisauni
BEN-001053,Anthony,Mbogo,Male,2004-09-01,21,254728443798.0,anthony.mbogo326@gmail.com,Kiambu,Limuru
BEN-006040,Nasieku,Rotich,Female,1992-10-08,33,254748156370.0,nasieku.rotich343@yahoo.com,Nyeri,Nyeri Central
BEN-007623,Cherono,Mutiso,Female,2005-05-09,21,254760946947.0,,Nairobi,Embakasi
BEN-000759,Sharon,Charo,Female,2010-04-02,16,254745414750.0,sharon.charo628@hotmail.com,Nairobi,Kasarani
BEN-004438,Odhiambo,Wafula,Male,2003-03-20,23,254776437153.0,odhiambo.wafula735@outlook.com,Nairobi,Roysambu
BEN-000854,Kipchoge,Mwakio,Male,2010-06-16,16,254721446130.0,kipchoge.mwakio680@outlook.com,Uasin Gishu,Ainabkoi
BEN-006602,Rotich,Kiptoo,Male,1991-12-05,34,254759172077.0,rotich.kiptoo669@yahoo.com,Nairobi,Starehe
BEN-001783,Amina,Musyoka,Female,2002-08-09,24,254759541828.0,amina.musyoka818@hotmail.com,Kiambu,Thika Town
BEN-004468,Cynthia,Mutiso,Female,1995-03-19,31,254733175055.0,cynthia.mutiso696@yahoo.com,Nyeri,Othaya
BEN-000071,Anyango,Njenga,Female,2010-01-30,16,254716937307.0,anyango.njenga443@gmail.com,Kiambu,Limuru
BEN-005952,Vincent,Wekesa,Male,2008-10-26,17,254710755867.0,vincent.wekesa919@hotmail.com,Kiambu,Thika Town
BEN-005384,Kipchoge,Otieno,Male,1999-12-20,26,254720510731.0,kipchoge.otieno514@hotmail.com,Nairobi,Kasarani
BEN-007220,Brenda,Njenga,Female,1999-03-09,27,254718041635.0,brenda.njenga70@yahoo.com,Kiambu,Githunguri
BEN-006710,Zawadi,Bett,Female,1998-02-05,28,254720507705.0,zawadi.bett311@yahoo.com,Nakuru,Molo
BEN-004479,Kagure,Njenga,Female,1995-11-05,30,254728386202.0,kagure.njenga527@gmail.com,Machakos,Masinga
BEN-000598,Wekesa,Juma,Male,2005-07-21,21,254722971710.0,wekesa.juma588@gmail.com,Nakuru,Nakuru Town East
BEN-002722,Abdi,Koech,Male,2005-03-24,21,254741964383.0,abdi.koech724@outlook.com,Nairobi,Starehe
BEN-005534,Victor,Kamau,Male,2008-04-17,18,254721407117.0,,Machakos,Kangundo
BEN-006544,Timothy,Kamau,Male,2002-03-18,24,254767059038.0,timothy.kamau34@gmail.com,Nairobi,Langata
BEN-001586,Daniel,Odhiambo,Male,2004-03-12,22,254766598383.0,daniel.odhiambo96@outlook.com,Mombasa,Changamwe
BEN-001109,James,Mohamed,Male,2003-10-26,22,254768768744.0,james.mohamed384@outlook.com,Kisii,Nyaribari Masaba
BEN-003981,Kamau,Cheruiyot,Male,1996-03-07,30,254771386008.0,kamau.cheruiyot439@hotmail.com,Kiambu,Limuru
BEN-006228,Akinyi,Baya,Female,2009-09-30,16,254738697189.0,akinyi.baya951@outlook.com,Machakos,Mavoko
BEN-008597,Mercy,Otieno,Female,1993-01-31,33,254739947187.0,mercy.otieno87@hotmail.com,Kakamega,Ikolomani
BEN-002404,Anthony,Omondi,Male,1996-12-12,29,254731153359.0,anthony.omondi195@yahoo.com,Kisumu,Muhoroni
BEN-005744,Musyoka,Muthoni,Male,2002-03-29,24,254728109426.0,musyoka.muthoni608@gmail.com,Mombasa,Jomvu
BEN-008068,Amina,Mutiso,Female,2001-10-19,24,254772098636.0,amina.mutiso846@hotmail.com,Nairobi,Westlands
BEN-001623,Halima,Charo,Female,1997-04-05,29,254790915492.0,halima.charo825@yahoo.com,Kiambu,Githunguri
BEN-009056,Anyango,Otieno,Female,2002-01-11,24,254749993407.0,anyango.otieno731@gmail.com,Kiambu,Kikuyu
BEN-002819,Mercy,Katana,Female,1995-07-01,31,254792584433.0,mercy.katana823@yahoo.com,Bungoma,Kimilili
BEN-009406,Kamau,Juma,Male,2007-09-01,18,254791847203.0,kamau.juma105@outlook.com,Uasin Gishu,Turbo
BEN-007787,Grace,Barasa,Female,1997-07-23,29,,grace.barasa962@outlook.com,Machakos,Machakos Town
BEN-007802,Juma,Njoroge,Male,2001-07-06,25,254779682674.0,juma.njoroge855@outlook.com,Machakos,Kangundo
BEN-008241,Njeri,Owino,Female,2006-10-30,19,254719058505.0,,Kisumu,Muhoroni
BEN-007873,Collins,Maina,Male,1999-12-02,26,254739573654.0,collins.maina510@hotmail.com,Kisumu,Kisumu East
BEN-007987,Kamau,Wanjiku,Male,1998-08-30,27,254785526489.0,kamau.wanjiku244@outlook.com,Bungoma,Bungoma North
BEN-007081,Wangari,Kuria,Female,2006-01-30,20,,wangari.kuria181@yahoo.com,Kisii,Gucha South
BEN-009366,Mercy,Kiptoo,Female,2007-11-11,18,254799329609.0,,Nyeri,Mathira
BEN-003069,Timothy,Njenga,Male,2001-12-21,24,254722516793.0,timothy.njenga460@yahoo.com,Meru,Central Imenti
BEN-008539,Wanjiku,Otieno,Female,2007-04-06,19,254773030682.0,wanjiku.otieno236@hotmail.com,Kilifi,Rabai
BEN-005861,Kilonzo,Mwakio,Male,1995-01-03,31,254770353211.0,kilonzo.mwakio508@outlook.com,Nakuru,Naivasha
BEN-003574,Awuor,Kamau,Female,2005-10-29,20,254752683696.0,awuor.kamau413@hotmail.com,Kiambu,Ruiru
BEN-003586,Timothy,Ngugi,Male,2010-05-28,16,254713367267.0,timothy.ngugi354@gmail.com,Kilifi,Kilifi South
BEN-009139,Onyango,Katana,Male,2009-02-01,17,254717801042.0,onyango.katana425@outlook.com,Nairobi,Roysambu
BEN-003203,Baraka,Wafula,Male,1998-03-27,28,254771000947.0,baraka.wafula787@yahoo.com,Nairobi,Dagoretti
BEN-004968,Jerop,Katana,Female,1995-03-05,31,254790124346.0,jerop.katana904@yahoo.com,Uasin Gishu,Ainabkoi
BEN-000801,Kiptoo,Onyango,Male,2008-04-10,18,,kiptoo.onyango321@outlook.com,Kisumu,Kisumu Central
BEN-005277,James,Njenga,Male,2007-01-13,19,254718551646.0,james.njenga388@gmail.com,Kiambu,Kikuyu
BEN-009081,Odhiambo,Mutua,Male,2001-08-10,25,,,Bungoma,Kimilili
BEN-004870,Odhiambo,Koech,Male,2004-04-13,22,254718420031.0,odhiambo.koech129@outlook.com,Meru,Buuri
BEN-006000,Kagure,Achieng,Female,2005-08-04,21,254751133755.0,kagure.achieng524@hotmail.com,Kisumu,Seme
BEN-005495,Emmanuel,Abdi,Male,1996-08-27,29,254798907803.0,,Nairobi,Mathare
BEN-000924,Nyambura,Mwangi,Female,2001-11-28,24,254757562464.0,nyambura.mwangi260@gmail.com,Muranga,Maragua
BEN-005795,Jerop,Njenga,Female,2006-01-04,20,254782619029.0,jerop.njenga911@gmail.com,Nairobi,Kasarani
BEN-004972,Nasieku,Baya,Female,2000-07-13,26,254776502575.0,nasieku.baya716@yahoo.com,Kiambu,Githunguri
BEN-009729,Emmanuel,Kiptoo,Male,2006-09-25,19,254747185049.0,emmanuel.kiptoo832@hotmail.com,Nairobi,Langata
BEN-006281,Nasieku,Koech,Female,1993-12-15,32,254753645722.0,nasieku.koech511@outlook.com,Kilifi,Kilifi North
BEN-000379,Timothy,Mwakio,Male,2003-05-11,23,254764414110.0,timothy.mwakio640@gmail.com,Kisumu,Seme
BEN-003237,Abdi,Kilonzo,Male,1991-03-10,35,254763322619.0,abdi.kilonzo121@hotmail.com,Nyeri,Nyeri Central
BEN-004753,Emily,Hassan,Female,2002-03-30,24,254786848843.0,emily.hassan861@hotmail.com,Kilifi,Kilifi South
BEN-009652,Juma,Wekesa,Male,2009-11-30,16,254722609141.0,juma.wekesa144@yahoo.com,Muranga,Kiharu
BEN-004628,Boniface,Kiptoo,Male,2000-08-03,26,254760444715.0,boniface.kiptoo916@gmail.com,Nairobi,Westlands
BEN-003688,Atieno,Wafula,Female,2010-06-19,16,254750752514.0,atieno.wafula125@outlook.com,Kakamega,Mumias East
BEN-005508,Peter,Mwangi,Male,1995-07-13,31,254719468773.0,peter.mwangi731@hotmail.com,Nairobi,Dagoretti
BEN-002157,Mohamed,Ngugi,Male,1996-10-22,29,254727720358.0,mohamed.ngugi39@yahoo.com,Nairobi,Dagoretti
BEN-008763,Daniel,Wanjiku,Male,2008-04-20,18,254734051978.0,daniel.wanjiku293@outlook.com,Machakos,Machakos Town
BEN-005577,Faith,Baya,Female,1994-09-09,31,254771668289.0,faith.baya422@yahoo.com,Kisii,Bomachoge Borabu
BEN-000771,Juma,Musyoka,Male,2002-02-12,24,254739159956.0,,Kiambu,Kiambu Town
BEN-008495,Brian,Matano,Male,2000-04-05,26,254749397515.0,brian.matano250@hotmail.com,Kakamega,Ikolomani
BEN-000691,Patrick,Mbogo,Male,2006-01-01,20,254739255516.0,patrick.mbogo315@outlook.com,Nairobi,Dagoretti
BEN-001344,Timothy,Muthoni,Male,1996-08-17,30,254730545362.0,timothy.muthoni297@gmail.com,Kiambu,Kikuyu
BEN-002538,Stephen,Kuria,Male,2000-03-27,26,254776869342.0,stephen.kuria721@outlook.com,Bungoma,Bungoma Central
BEN-001217,Beatrice,Mwakio,Female,2007-11-14,18,254763046193.0,beatrice.mwakio220@outlook.com,Nakuru,Nakuru Town West
BEN-000220,Omondi,Barasa,Male,1999-01-17,27,254740986161.0,omondi.barasa124@yahoo.com,Muranga,Kandara
BEN-002889,Neema,Kamau,Female,1991-10-20,34,254791100548.0,neema.kamau557@gmail.com,Nairobi,Roysambu
BEN-002876,Brenda,Achieng,Female,2010-03-13,16,254742654413.0,,Nakuru,Rongai
BEN-008550,Ali,Odhiambo,Male,1995-04-28,31,254791428167.0,,Kakamega,Mumias West
BEN-008916,Otieno,Nyambane,Male,1998-01-03,28,254725488687.0,otieno.nyambane473@hotmail.com,Kajiado,Ongata Rongai
BEN-005918,Purity,Koech,Female,1995-05-17,31,254750442978.0,purity.koech596@gmail.com,Kakamega,Shinyalu
BEN-001221,Njeri,Kilonzo,Female,2001-03-28,25,254798177784.0,njeri.kilonzo615@gmail.com,Nairobi,Dagoretti
BEN-008861,Kagure,Nduta,Female,1994-06-14,32,254781999298.0,kagure.nduta761@hotmail.com,Nairobi,Starehe
BEN-004435,Cherono,Katana,Female,2006-03-27,20,254757971928.0,cherono.katana209@outlook.com,Kisumu,Nyando
BEN-008814,Achieng,Njenga,Female,2004-11-09,21,254737600283.0,achieng.njenga391@gmail.com,Bungoma,Webuye East
BEN-008808,Awuor,Mbogo,Female,1994-02-25,32,254769116114.0,awuor.mbogo704@yahoo.com,Meru,Tigania West
BEN-007248,Beatrice,Wanjiku,Female,2007-05-18,19,254795527502.0,beatrice.wanjiku147@hotmail.com,Kiambu,Limuru
BEN-004366,Timothy,Wanjiku,Male,1999-01-20,27,254725359971.0,timothy.wanjiku83@hotmail.com,Nairobi,Kasarani
BEN-008478,Njeri,Baya,Female,1999-07-26,27,254740307779.0,njeri.baya312@gmail.com,Mombasa,Changamwe
BEN-009246,Akinyi,Cheruiyot,Female,1992-06-09,34,254751811492.0,akinyi.cheruiyot706@gmail.com,Kajiado,Ongata Rongai
BEN-007687,Grace,Mbogo,Female,2000-12-01,25,,grace.mbogo256@gmail.com,Kilifi,Rabai
BEN-003576,Francis,Hassan,Male,2007-03-06,19,254790731109.0,francis.hassan151@gmail.com,Muranga,Kiharu
BEN-006009,Kamau,Mbogo,Male,1999-09-29,26,254790183001.0,kamau.mbogo551@hotmail.com,Kisumu,Nyando
BEN-004977,Esther,Baya,Female,1997-10-16,28,254729312152.0,esther.baya846@yahoo.com,Kajiado,Loitokitok
BEN-007579,Wanjiku,Muthoni,Female,2009-07-11,17,254770251934.0,wanjiku.muthoni811@gmail.com,Meru,Central Imenti
BEN-007803,Victor,Charo,Male,2001-08-08,25,,victor.charo654@gmail.com,Nairobi,Starehe
BEN-006837,Peter,Rotich,Male,1991-04-17,35,254798411719.0,peter.rotich117@outlook.com,Kakamega,Butere
BEN-006486,Emily,Koech,Female,2002-04-14,24,254792930396.0,emily.koech675@yahoo.com,Kiambu,Ruiru
BEN-009019,Chebet,Charo,Female,2007-09-11,18,254773414690.0,chebet.charo901@hotmail.com,Kilifi,Kilifi South
BEN-006478,Neema,Mbogo,Female,1994-08-01,32,254712934410.0,neema.mbogo742@outlook.com,Meru,Buuri
BEN-007448,Wangari,Onyango,Female,2000-12-03,25,254791025828.0,wangari.onyango150@outlook.com,Kajiado,Loitokitok
BEN-000476,Korir,Korir,Male,2000-07-05,26,254794142442.0,korir.korir354@hotmail.com,Nakuru,Njoro
BEN-003131,Onyango,Wanjiku,Male,2004-01-03,22,254789878988.0,onyango.wanjiku333@gmail.com,Uasin Gishu,Eldoret South
BEN-003051,Nkatha,Musyoka,Female,2000-09-14,25,254724748242.0,nkatha.musyoka429@hotmail.com,Nakuru,Naivasha
BEN-006751,Patrick,Gitau,Male,2005-09-08,20,254739827357.0,patrick.gitau446@hotmail.com,Kilifi,Kilifi South
BEN-003074,Otieno,Ochieng,Male,1992-05-26,34,254757382353.0,otieno.ochieng471@hotmail.com,Mombasa,Jomvu
BEN-006849,Jerop,Otieno,Female,2008-02-28,18,254763202961.0,jerop.otieno341@outlook.com,Kilifi,Kilifi North
BEN-004637,Atieno,Kuria,Female,2003-12-29,22,254747652737.0,atieno.kuria472@yahoo.com,Machakos,Machakos Town
BEN-007484,Wekesa,Charo,Male,2002-02-14,24,254754238245.0,wekesa.charo382@yahoo.com,Meru,Central Imenti
BEN-006640,Gathoni,Rotich,Female,1996-10-13,29,254767105339.0,gathoni.rotich7@gmail.com,Kajiado,Kajiado Central
BEN-000550,Njeri,Matano,Female,1997-01-24,29,254780657795.0,njeri.matano652@yahoo.com,Machakos,Yatta
BEN-000653,Juma,Kariuki,Male,1997-01-02,29,254744933135.0,juma.kariuki737@yahoo.com,Bungoma,Kimilili
BEN-008750,Mumbi,Njoroge,Female,1995-07-18,31,254724863930.0,mumbi.njoroge736@gmail.com,Machakos,Machakos Town
BEN-008178,Brenda,Owino,Female,2003-08-17,23,254782708283.0,brenda.owino796@hotmail.com,Kiambu,Kiambu Town
BEN-001215,Halima,Maina,Female,1996-06-04,30,254749849879.0,halima.maina936@gmail.com,Nairobi,Mathare
BEN-005797,Naisula,Onyango,Female,2010-02-06,16,254797972770.0,naisula.onyango479@hotmail.com,Kiambu,Kiambu Town
BEN-004715,Barasa,Bett,Male,1997-11-27,28,254764395281.0,barasa.bett89@yahoo.com,Meru,Central Imenti
BEN-008845,Cheruiyot,Matano,Male,1993-07-07,33,254756766164.0,cheruiyot.matano58@outlook.com,Kiambu,Githunguri
BEN-005467,David,Mutua,Male,1997-12-07,28,254719579039.0,david.mutua968@hotmail.com,Kiambu,Githunguri
BEN-004584,Boniface,Juma,Male,2002-07-14,24,254752814822.0,,Kiambu,Juja
BEN-007345,Akinyi,Kiptoo,Female,1998-01-21,28,254778613862.0,akinyi.kiptoo65@yahoo.com,Nakuru,Nakuru Town West
BEN-005896,Daniel,Nyambane,Male,2002-05-12,24,254776281797.0,daniel.nyambane951@yahoo.com,Nairobi,Westlands
BEN-006209,Timothy,Hassan,Male,1992-04-09,34,254716714738.0,timothy.hassan180@hotmail.com,Kiambu,Thika Town
BEN-005103,Korir,Mwakio,Male,2010-08-24,15,,korir.mwakio519@outlook.com,Kilifi,Kilifi North
BEN-004731,Emily,Hassan,Female,1994-08-06,32,254787999399.0,emily.hassan308@yahoo.com,Nairobi,Langata
BEN-005111,Kamau,Koech,Male,1993-08-31,32,254733444073.0,kamau.koech380@yahoo.com,Nyeri,Mukurweini
BEN-002488,Kipchoge,Muthoni,Male,1995-01-17,31,254761074035.0,kipchoge.muthoni644@yahoo.com,Kakamega,Mumias West
BEN-009367,Kendi,Nduta,Female,1995-06-08,31,254783682486.0,kendi.nduta386@outlook.com,Mombasa,Mvita
BEN-001582,Anthony,Otieno,Male,2001-04-20,25,254769373302.0,,Nairobi,Mathare
BEN-006700,Atieno,Abdi,Female,1993-08-19,33,254738098116.0,atieno.abdi217@yahoo.com,Mombasa,Likoni
BEN-001563,Kiptoo,Muthoni,Male,1999-03-11,27,254764754988.0,kiptoo.muthoni347@outlook.com,Meru,North Imenti
BEN-005836,Gathoni,Wekesa,Female,1995-06-03,31,254729214698.0,gathoni.wekesa105@yahoo.com,Muranga,Kiharu
BEN-000972,Kiptoo,Odhiambo,Male,1991-02-24,35,254748514084.0,kiptoo.odhiambo893@yahoo.com,Kiambu,Githunguri
BEN-000258,Mohamed,Mutiso,Male,2004-06-10,22,254749505733.0,mohamed.mutiso873@hotmail.com,Kajiado,Ngong
BEN-006988,Peter,Juma,Male,1996-10-13,29,254787510319.0,peter.juma493@yahoo.com,Nyeri,Othaya
BEN-000155,Kiptoo,Kariuki,Male,1994-06-12,32,254795636715.0,kiptoo.kariuki673@hotmail.com,Nyeri,Mathira
BEN-000774,Achieng,Kimani,Female,2009-05-10,17,254784632258.0,achieng.kimani40@outlook.com,Nairobi,Kasarani
BEN-002058,Wekesa,Maina,Male,1993-01-13,33,254775808270.0,wekesa.maina18@gmail.com,Kisumu,Seme
BEN-008020,Brian,Onyango,Male,2003-10-15,22,254782899842.0,,Kiambu,Githunguri
BEN-000652,Joy,Omondi,Female,2010-06-30,16,254779195121.0,joy.omondi432@outlook.com,Nairobi,Langata
BEN-007155,Brenda,Njoroge,Female,1994-05-23,32,254721538325.0,brenda.njoroge315@outlook.com,Bungoma,Webuye East
BEN-003397,Omondi,Achieng,Male,1991-09-14,34,254732201760.0,,Uasin Gishu,Eldoret North
BEN-008310,Dennis,Nyambane,Male,1992-01-16,34,254795956277.0,,Nairobi,Starehe
BEN-005563,Juma,Onyango,Male,1991-11-17,34,254725273356.0,juma.onyango578@gmail.com,Kajiado,Loitokitok
BEN-003605,Nasieku,Otieno,Female,2005-01-08,21,254756302575.0,nasieku.otieno848@yahoo.com,Mombasa,Likoni
BEN-004976,Diana,Kimani,Female,2003-02-07,23,254719494242.0,diana.kimani358@hotmail.com,Nairobi,Kasarani
BEN-005689,Akinyi,Mwangi,Female,2007-05-13,19,,akinyi.mwangi690@yahoo.com,Nairobi,Starehe
BEN-004331,Cheruiyot,Mwakio,Male,1998-08-18,28,254752160772.0,,Meru,Central Imenti
BEN-000395,Kilonzo,Onyango,Male,2008-12-11,17,254763092483.0,kilonzo.onyango299@hotmail.com,Kisumu,Kisumu West
BEN-008477,Kevin,Maina,Male,2009-05-01,17,254719264442.0,kevin.maina414@hotmail.com,Uasin Gishu,Kapseret
BEN-008313,Halima,Wafula,Female,2000-06-09,26,254766610509.0,halima.wafula343@hotmail.com,Nairobi,Kasarani
BEN-001901,Simon,Koech,Male,2004-10-04,21,254771938011.0,simon.koech776@outlook.com,Nyeri,Othaya
BEN-008670,Barasa,Kilonzo,Male,2010-04-02,16,254793581351.0,,Machakos,Masinga
BEN-007160,Jerop,Kuria,Female,1998-06-12,28,254712210624.0,jerop.kuria904@outlook.com,Uasin Gishu,Soy
BEN-002680,Awuor,Gitau,Female,2004-01-25,22,254792763383.0,,Mombasa,Kisauni
BEN-005668,Musyoka,Otieno,Male,2005-09-15,20,254777509302.0,musyoka.otieno936@yahoo.com,Kajiado,Kajiado Central
BEN-001474,Cherono,Rotich,Female,1994-09-22,31,254747775365.0,cherono.rotich911@yahoo.com,Mombasa,Changamwe
BEN-007129,Naisula,Mutiso,Female,2004-10-04,21,254713434342.0,naisula.mutiso929@yahoo.com,Bungoma,Webuye West
BEN-002355,Wekesa,Kilonzo,Male,2010-06-07,16,254784796026.0,wekesa.kilonzo856@outlook.com,Kisumu,Seme
BEN-003612,Korir,Chebet,Male,1991-07-21,35,254764838829.0,korir.chebet106@gmail.com,Mombasa,Jomvu
BEN-005293,Onyango,Wanjiku,Male,2001-09-05,24,254786130457.0,onyango.wanjiku45@outlook.com,Kajiado,Loitokitok
BEN-002086,Otieno,Abdi,Male,2002-11-05,23,254784504874.0,otieno.abdi275@gmail.com,Muranga,Muranga West
BEN-002512,Mumbi,Mutiso,Female,1995-01-16,31,254721954661.0,,Bungoma,Bungoma South
BEN-007770,Francis,Bett,Male,2000-05-10,26,254750797620.0,francis.bett137@hotmail.com,Nairobi,Kasarani
